"","ntaxa","mpd.obs","mpd.rand.mean","mpd.rand.sd","mpd.obs.rank","mpd.obs.z","mpd.obs.p","runs"
"fr1_00",13,5.84311534251442,7.64606868373228,1.10964363145245,52,-1.62480393715046,0.052,999
"fr2_00",16,9.07934905904064,10.5572656144869,1.12607388917599,98,-1.31245078111861,0.098,999
"fr3_00",19,8.65936085619007,10.7596916630497,1.10187241197939,35,-1.90614701305266,0.035,999
"fr4_00",20,9.69696346411027,10.3309502475941,1.09730160670554,288,-0.577768937555132,0.288,999
"fr5_00",12,8.86769870985128,10.4997010382681,1.20811766241446,104,-1.35086372725918,0.104,999
"fr6_00",17,7.1955316111025,9.79780722279313,1.32311385532577,30,-1.96678131758352,0.03,999
"fr7_00",9,4.75120565000116,6.39342490049963,1.03830153434495,63,-1.58164001128489,0.063,999
"fr8_00",16,5.40507579061045,9.56569119467083,1.45124477311136,2,-2.86692877807259,0.002,999
"fr9_00",26,9.34889571144158,11.1194544210178,1.0006238515881,54,-1.769454832369,0.054,999
"fr10_00",17,9.21854713285555,10.1939648109485,1.22456064169774,225,-0.796545017762976,0.225,999
"fo1_00",21,9.99198152012345,11.3567511082018,0.972205436294812,90,-1.40378724200477,0.09,999
"fo2_00",20,10.3975721408473,11.6374920854138,0.915709508686074,99,-1.35405380506054,0.099,999
"fo3_00",15,2.4910567279698,2.45028978249869,0.392155041905827,531,0.103956193634496,0.531,999
"fo4_00",9,8.53651635723437,10.4514134245443,1.34570424554496,93,-1.42297022072222,0.093,999
"fo5_00",25,9.84646571929308,11.579818148336,0.871780315708241,35,-1.98829039588339,0.035,999
"fo6_00",21,9.56370192368665,10.7870753978535,1.09676739102451,148,-1.115435674126,0.148,999
"fo7_00",20,9.76010279243086,11.2618230792748,0.967122174813196,67,-1.55277205502392,0.067,999
"fo8_00",24,9.62969870121176,9.23812509476383,1.09519312842135,632,0.357538406958743,0.632,999
"fo9_00",19,10.0552119710368,10.9774563748894,1.08795712878925,212,-0.847684508376631,0.212,999
"fo10_00",23,9.59809137985128,11.3107770617805,0.895236726481731,33,-1.91310927184595,0.033,999
"bc1_00",18,12.2321487979686,10.7670469434492,1.06849141401896,908,1.37118729762054,0.908,999
"bc2_00",17,4.48035795368181,5.09271203357572,0.77568092152284,234,-0.789440687404966,0.234,999
"bc3_00",17,11.155607964278,11.1197284279189,1.042587801442,509,0.0344139230378328,0.509,999
"bc4_00",5,7.28840644117355,7.17400725532004,1.22177339529708,516,0.0936337182442072,0.516,999
"bc5_00",14,8.68377208543778,7.66549137281334,1.08073122934075,803,0.942214571929785,0.803,999
"bc6_00",17,11.4579050176487,10.8562887176391,1.02657397065748,712,0.586042815428348,0.712,999
"bc7_00",22,11.6336918918064,11.0325567563368,0.978305864265079,709,0.614465431954768,0.709,999
"bc8_00",16,9.81001934585207,11.5047631878017,0.946655216862845,55,-1.7902440210132,0.055,999
"bc9_00",22,7.34702600974793,6.45295851025789,0.905326877435228,839,0.987563190461017,0.839,999
"bc10_00",12,7.20020633907047,6.57941459659246,1.06154913857856,692,0.5847979334327,0.692,999
"na1_00",17,9.07127237658803,9.9929228667055,1.29794483341054,241,-0.71008448617627,0.241,999
"na2_00",14,9.6063079073132,9.17642988886802,1.05649682383704,653,0.40689002441477,0.653,999
"na3_00",11,7.73593636849835,10.7808874594677,1.16734604701475,8,-2.60843911602409,0.008,999
"na4_00",11,10.3047614558171,8.26905511656133,1.05321161534291,980,1.93285595183355,0.98,999
"na5_00",18,6.48188618072602,7.24329849988409,1.37425916502053,280,-0.554052931600208,0.28,999
"na6_00",14,9.16980227500593,9.47911224436344,1.15195356806921,387,-0.268509059680201,0.387,999
"na7_00",14,10.6371901537691,10.9181594590088,1.10472263279474,383,-0.254334705290563,0.383,999
"na8_00",16,9.30945418446444,11.0789693153726,1.00947032183423,48,-1.75291446676006,0.048,999
"na9_00",28,7.6199449725256,6.62454146158412,0.834453384693889,872,1.19288090766944,0.872,999
"na10_00",18,11.1855512486156,10.5545592949306,1.08206613376146,711,0.583136218755467,0.711,999
"fr1_01",20,9.14709738842705,11.0783063620746,1.07328820252236,45,-1.79933867633036,0.045,999
"fr2_01",22,6.80819355107067,8.71694526291124,1.0868157098843,43,-1.75627909541699,0.043,999
"fr3_01",19,6.70848960194306,7.60634453548218,0.992503047180089,203,-0.904636954103183,0.203,999
"fr4_01",10,7.30764005202931,9.63908063926065,1.27186168663788,44,-1.83309286829327,0.044,999
"fr5_01",29,6.41570721370364,9.41459748068654,1.09350231923089,1,-2.74246356339889,0.001,999
"fr6_01",10,7.4474221378665,9.46030919453567,1.4312709863221,91,-1.40636334831438,0.091,999
"fr7_01",14,6.59652219106567,6.94632277789767,0.948464637296594,389,-0.3688071996327,0.389,999
"fr8_01",12,5.44422116230969,6.13622094572913,0.840629134364554,207,-0.823192719750942,0.207,999
"fr9_01",17,5.63866025001834,7.29148127468297,1.11474067231302,78,-1.48269554140796,0.078,999
"fr10_01",6,3.54344149595771,3.50155002677754,0.694428807980289,511,0.0603250739294846,0.511,999
"fo1_01",22,9.61235049613644,10.5598315707571,1.0258327728105,194,-0.923621373515719,0.194,999
"fo2_01",12,8.0319146544727,9.49639908521079,1.43534603571264,159,-1.0203006064743,0.159,999
"fo3_01",18,8.56075594818632,9.72601572247188,1.33082110644957,187,-0.875594599934097,0.187,999
"fo4_01",22,6.02207432692972,6.97437575098815,1.18070610783635,234,-0.806552466983956,0.234,999
"fo5_01",27,6.70229341713766,9.52787490676711,1.07154913836634,8,-2.6369126608018,0.008,999
"fo6_01",16,8.03470999362639,9.81296343039871,1.3298625737621,91,-1.33717082641235,0.091,999
"fo7_01",18,7.25303449706523,9.60127801553453,1.4520092726768,66,-1.61723727434625,0.066,999
"fo8_01",17,9.98453931877586,10.5488887033053,1.16701611105246,300,-0.48358319922468,0.3,999
"fo9_01",23,9.66584714778991,10.2702090398061,1.0788045652835,292,-0.560214436854373,0.292,999
"fo10_01",17,7.47109052445294,8.78010018542201,1.13990590935541,139,-1.14834886829324,0.139,999
"bc1_01",23,8.38900718576593,10.1325237383695,1.10496600244383,55,-1.57789158105089,0.055,999
"bc2_01",9,10.1432248629379,10.4001711786398,1.35129388475678,412,-0.190148359731621,0.412,999
"bc3_01",9,8.71232182086108,10.4264681879387,1.33201818645696,112,-1.28687910158128,0.112,999
"bc4_01",11,9.40092198832,10.0658631450542,1.36886931281219,296,-0.485759415095756,0.296,999
"bc5_01",20,8.88660305621245,10.7488027414099,1.16039964419184,60,-1.60479167200566,0.06,999
"bc6_01",18,10.0658990706193,9.70595535250243,1.22411504435791,594,0.294044027786342,0.594,999
"bc7_01",17,9.65433826446352,11.1380393963894,1.00299736117135,80,-1.47926723375733,0.08,999
