"","ntaxa","mpd.obs","mpd.rand.mean","mpd.rand.sd","mpd.obs.rank","mpd.obs.z","mpd.obs.p","runs"
"fr1_00",13,9.18676519500407,12.2776698056235,1.85633660276255,50,-1.665056114295,0.05,999
"fr2_00",16,14.0105394019346,16.9135118995826,1.86152440921337,62,-1.55945980792953,0.062,999
"fr3_00",19,12.6087720338348,17.0732472211573,1.79235242627558,7,-2.49084673408758,0.007,999
"fr4_00",20,13.8363903130001,16.3809219901638,1.80851183854619,89,-1.40697540537488,0.089,999
"fr5_00",12,14.1536508161542,16.8736908753284,1.95796779016113,94,-1.38921593748505,0.094,999
"fr6_00",17,10.6449760476885,15.7351383070499,2.17066945774683,11,-2.34497345562925,0.011,999
"fr7_00",9,7.39453519472682,10.0940063213413,1.78100353202028,60,-1.51570228698666,0.06,999
"fr8_00",16,9.49818219467442,15.1217486751697,2.37997265926112,7,-2.36287020298845,0.007,999
"fr9_00",26,15.558328898109,17.7386550191328,1.74100444390399,120,-1.25233805614807,0.12,999
"fr10_00",17,13.4439289579402,16.3630452902334,1.89418020984895,63,-1.541097471674,0.063,999
"fo1_00",21,16.551535826956,18.3141378814032,1.43549660106699,131,-1.22786919393403,0.131,999
"fo2_00",20,16.7305669250044,18.5608736228352,1.49785987028171,125,-1.22194788320653,0.125,999
"fo3_00",15,5.55818408996627,3.94010018166701,0.692892697511119,990,2.33525900058038,0.99,999
"fo4_00",9,13.590568893049,16.7557254831764,2.10231772283254,85,-1.50555577577634,0.085,999
"fo5_00",25,13.6979920231689,18.4965003052408,1.52525773403465,4,-3.14603111002015,0.004,999
"fo6_00",21,19.6162199243513,17.2584107031042,1.93675167813734,880,1.21740399033229,0.88,999
"fo7_00",20,16.3209784983939,18.056009019641,1.6414318977005,163,-1.05702254457085,0.163,999
"fo8_00",24,12.825327449214,14.9529370904501,1.90944027693963,124,-1.11425828130439,0.124,999
"fo9_00",19,15.3628559391196,17.5706824475157,1.75822987366063,111,-1.25570981443936,0.111,999
"fo10_00",23,20.2195755370294,18.1033404374998,1.5448394632461,920,1.3698737958719,0.92,999
"bc1_00",18,14.964404073995,17.3417307375995,1.72321414497388,89,-1.37958864285001,0.089,999
"bc2_00",17,6.59849971168723,8.13093112436245,1.33061381891429,114,-1.15167255208999,0.114,999
"bc3_00",17,13.975192936294,17.7312168561206,1.76634340784128,26,-2.1264403644006,0.026,999
"bc4_00",5,9.22950125365289,11.3320338157861,2.17386625531606,170,-0.967185794890345,0.17,999
"bc5_00",14,11.2133044432223,12.2324248577963,1.89895937742426,296,-0.536673099324734,0.296,999
"bc6_00",17,14.8128538661215,17.4462273064918,1.74757548305695,79,-1.50687250187549,0.079,999
"bc7_00",22,16.6107876330089,17.7132448369312,1.63409228199775,259,-0.674660309009305,0.259,999
