"","ntaxa","mpd.obs","mpd.rand.mean","mpd.rand.sd","mpd.obs.rank","mpd.obs.z","mpd.obs.p","runs"
"fr2000",66,7.83843897115767,9.17186726697579,1.01506886294824,97,-1.31363333512685,0.097,999
"fo2000",62,9.80425871726161,9.42923485271022,0.993688917645012,646,0.377405703024422,0.646,999
"na2000",66,8.53451777417307,8.9122571050985,1.06432761944025,361,-0.354908887100093,0.361,999
"fr2001",56,6.4778748380833,7.67540401853458,0.984846086903427,115,-1.21595566695765,0.115,999
"fo2001",56,8.60028930681137,9.06682509591272,1.03116692038935,341,-0.452434790019444,0.341,999
"na2001",52,9.48728354112943,9.61299385624943,0.996329593105347,438,-0.126173422921415,0.438,999
"fr2002",40,7.77499984972871,7.88906899365833,1.13464919879976,473,-0.100532520580173,0.473,999
"fo2002",46,7.23512171723178,7.66389657080747,1.3810827631067,374,-0.310462823104949,0.374,999
"na2002",49,5.20951670922758,4.88069044857107,0.843420230275052,653,0.389872389650019,0.653,999
"fr2003",75,9.88971271087537,10.3320738560272,0.682796329025276,255,-0.647866906055691,0.255,999
"fo2003",85,9.01906123380288,8.93947141093767,0.907383460342149,562,0.0877135481786199,0.562,999
"na2003",108,9.23798549320953,10.0648738750053,0.797397167545106,161,-1.03698434788959,0.161,999
