"","ntaxa","mpd.obs","mpd.rand.mean","mpd.rand.sd","mpd.obs.rank","mpd.obs.z","mpd.obs.p","runs"
"fr2000",66,13.659322511796,17.0463944005855,1.22652363942545,6,-2.76152189808273,0.006,999
"fo2000",62,19.1307340774598,17.726654029937,1.24391545469852,886,1.12875842342764,0.886,999
"na2000",66,14.2131389782657,16.8971890195146,1.37750909141215,32,-1.9484808180085,0.032,999
"fr2001",56,12.2401815619315,14.2999425372276,1.22416236669247,54,-1.6825880547703,0.054,999
"fo2001",56,17.6455361115522,17.0202547851841,1.38513102232438,655,0.451423956499705,0.655,999
"na2001",52,16.6087791229453,18.0739157208481,1.31640695502636,139,-1.1129815079665,0.139,999
"fr2002",40,13.1817519185566,14.7306465181706,1.50086675384713,142,-1.03200007305363,0.142,999
"fo2002",46,17.2003515583448,14.2901568262358,2.16940496877473,945,1.34147140529172,0.945,999
"na2002",49,8.51219902214366,9.23797038549638,1.16173789370561,239,-0.624729009258466,0.239,999
"fr2003",75,15.0063859537359,19.4158724431143,0.812958394751674,1,-5.42400019219354,0.001,999
"fo2003",85,18.4114270748029,16.9016962881054,1.05746101727437,928,1.42769403508503,0.928,999
"na2003",108,15.0323886201249,19.0038889339184,0.903002303124609,1,-4.39810651650745,0.001,999
