"","ntaxa","mpd.obs","mpd.rand.mean","mpd.rand.sd","mpd.obs.rank","mpd.obs.z","mpd.obs.p","runs"
"fr1_00",13,10.2432897915518,11.4251691797229,0.910462617740416,107,-1.29810863745759,0.107,999
"fr2_00",16,9.74169595630292,11.3989910426571,0.813807638882305,32,-2.03647029982455,0.032,999
"fr3_00",19,8.33759779488866,11.4159353281264,0.714486327149517,1,-4.30846248033733,0.001,999
"fr4_00",20,9.62523948626474,11.4564016332788,0.711625664777765,16,-2.57320981753221,0.016,999
"fr5_00",12,9.34313624986667,11.3718030935709,0.925666528972943,18,-2.19157415787207,0.018,999
"fr6_00",17,9.53654232575147,11.4308617389456,0.762402795684176,14,-2.48467007717901,0.014,999
"fr7_00",9,10.5727625857722,11.4082151972824,1.15789475745196,229,-0.721527242552362,0.229,999
"fr8_00",16,9.24551303253708,11.4223785815479,0.801287795321211,7,-2.71670873027362,0.007,999
"fr9_00",26,10.9587702823854,11.4417564632057,0.607532954630195,193,-0.794995855186666,0.193,999
"fr10_00",17,10.0753494138244,11.4025161016177,0.781148555997877,43,-1.69899397189298,0.043,999
"fo1_00",21,9.72852680901429,11.4548941234058,0.672542279754816,13,-2.56692756181945,0.013,999
"fo2_00",20,10.5064375825568,11.4105527656993,0.689972439615128,104,-1.3103641989625,0.104,999
"fo3_00",15,9.33388757127771,11.4395484159244,0.79309758375087,9,-2.65498330569637,0.009,999
"fo4_00",9,7.95000278862222,11.424402105517,1.20914164721835,6,-2.87344276403651,0.006,999
"fo5_00",25,8.90202113301493,11.3790264905271,0.624941057457085,1,-3.96358236981775,0.001,999
"fo6_00",21,9.83555063122857,11.4070938179677,0.675826850496768,19,-2.32536364245366,0.019,999
"fo7_00",20,9.60839648127074,11.4474746675505,0.677463738795029,11,-2.71465184181051,0.011,999
"fo8_00",24,9.94983766503174,11.4196384471018,0.626247609692065,20,-2.3469962349122,0.02,999
"fo9_00",19,10.3371723443119,11.4001355540417,0.703252272536679,68,-1.51149630259371,0.068,999
"fo10_00",23,10.4292848223555,11.4106443428994,0.640766337948541,75,-1.53154037973617,0.075,999
"bc1_00",18,9.63990284983974,11.4216275200376,0.725843252249128,15,-2.45469619601325,0.015,999
"bc2_00",17,10.5702368947179,11.4235870563347,0.737709920254981,135,-1.15675570869621,0.135,999
"bc3_00",17,9.29321956417412,11.3937562326971,0.770105932161572,9,-2.72759445265812,0.009,999
"bc4_00",5,9.857649043108,11.4015447759266,1.72505354856515,190,-0.894984236346039,0.19,999
"bc5_00",14,9.14498427780022,11.3658108010715,0.892081333737058,10,-2.48948883838641,0.01,999
"bc6_00",17,9.60331099266206,11.3925399869909,0.758929754404319,20,-2.35756864709194,0.02,999
"bc7_00",22,10.4364028953451,11.4172678077823,0.630309198651536,66,-1.55616468002633,0.066,999
"bc8_00",16,10.386875038145,11.3963034421748,0.787066519649567,108,-1.2825198110056,0.108,999
"bc9_00",22,10.7138712083469,11.4008325163927,0.634747294308017,134,-1.08225952943164,0.134,999
"bc10_00",12,9.24990933581576,11.4067242229452,0.965442807451263,20,-2.23401621565066,0.02,999
"na1_00",17,9.07675289146206,11.3249393167546,0.783965780004274,3,-2.86770989580724,0.003,999
"na2_00",14,9.21150620035077,11.3966690611547,0.889135182724595,17,-2.45762725765487,0.017,999
"na3_00",11,9.94815931363455,11.321877064105,0.99846416003191,101,-1.37583080641229,0.101,999
"na4_00",11,10.6743970415982,11.4481836406311,0.998557052640997,202,-0.774904745789356,0.202,999
"na5_00",18,10.4600430121319,11.4029560030409,0.741281799417735,107,-1.27200342926216,0.107,999
"na6_00",14,8.94975388805626,11.3464219127551,0.895509895520798,14,-2.67631662886881,0.014,999
"na7_00",14,9.04364963892769,11.398379692478,0.866289518630614,4,-2.71817908783265,0.004,999
"na8_00",16,9.01357808707,11.3659297319001,0.817821171599174,9,-2.87636432819448,0.009,999
"na9_00",28,11.2005975028907,11.4145822828178,0.555739031021879,310,-0.385045440363638,0.31,999
"na10_00",18,9.43037304037111,11.4108239624653,0.718762630937794,7,-2.75536155727832,0.007,999
"fr1_01",20,10.2843853797015,11.4406269110978,0.675485956799245,56,-1.71171808941088,0.056,999
"fr2_01",22,10.4172107306796,11.4255954550263,0.672056844446044,80,-1.50044558385211,0.08,999
