"","ntaxa","mpd.obs","mpd.rand.mean","mpd.rand.sd","mpd.obs.rank","mpd.obs.z","mpd.obs.p","runs"
"fr1_00",13,17.3674421483805,19.9689330387667,1.66103649260717,79,-1.56618527164498,0.079,999
"fr2_00",16,18.1190576122348,19.9455637089113,1.44976995380065,107,-1.2598592569036,0.107,999
"fr3_00",19,14.4585953091322,19.9700723087392,1.29597142365949,2,-4.25277664228433,0.002,999
"fr4_00",20,17.6339902055608,20.0213126688608,1.1872766624289,40,-2.01075498141774,0.04,999
"fr5_00",12,19.3164345504242,19.841081900278,1.75000073564606,343,-0.299798359604747,0.343,999
"fr6_00",17,16.3872125962894,19.9127379380782,1.38787467478219,26,-2.54023321114502,0.026,999
"fr7_00",9,18.1764989924522,19.8286751382543,2.17214323781742,205,-0.760620256085033,0.205,999
"fr8_00",16,15.8419672519288,19.9144610580513,1.46971883049181,11,-2.77093395119647,0.011,999
"fr9_00",26,18.8249691821495,19.9124941541288,1.05970264303747,147,-1.02625484528569,0.147,999
"fr10_00",17,17.4445571280175,19.8626438565325,1.4167471185916,56,-1.7067878217524,0.056,999
"fo1_00",21,19.2188381473385,19.973552027833,1.16155403101978,226,-0.649744962644535,0.226,999
"fo2_00",20,18.9686111199076,19.9315302105606,1.27339497286084,212,-0.75618257585052,0.212,999
"fo3_00",15,17.1637376482966,19.8729814068176,1.54536639820015,55,-1.75314007194437,0.055,999
"fo4_00",9,16.9550790450967,19.778990646899,2.1793576149026,115,-1.29575411694355,0.115,999
"fo5_00",25,16.0605635275315,19.9470987126306,1.06921140252437,2,-3.63495486105288,0.002,999
"fo6_00",21,19.9990183972166,19.9483830611815,1.23007768819077,459,0.0411643398796889,0.459,999
"fo7_00",20,18.3842858221532,19.9084528012966,1.30255559409508,116,-1.17013583608481,0.116,999
"fo8_00",24,19.0266912622871,19.9408416401288,1.15047771395393,198,-0.794583299401788,0.198,999
"fo9_00",19,17.7023505022773,19.9749920347807,1.19638089398543,41,-1.8995969794642,0.041,999
"fo10_00",23,18.3165718473674,19.9251755000882,1.15958681321842,84,-1.38722140885356,0.084,999
"bc1_00",18,16.8159222678083,20.0680382666149,1.26917097751085,16,-2.56239392204255,0.016,999
"bc2_00",17,20.3624897023985,19.9768984430507,1.37123558401755,546,0.281199863715658,0.546,999
"bc3_00",17,15.9165565469474,19.9355650463523,1.42675316400068,16,-2.81689124707138,0.016,999
"bc4_00",5,19.283300707496,20.0413857181567,3.32593523506301,355,-0.227931380824476,0.355,999
"bc5_00",14,16.6996779129784,19.9111015695796,1.56239730227128,36,-2.05544623760724,0.036,999
"bc6_00",17,15.1507548070412,19.969995442298,1.41110632170117,6,-3.4152214905018,0.006,999
"bc7_00",22,18.3485026786489,19.9434019039528,1.21186436888218,103,-1.31607073056779,0.103,999
"bc8_00",16,19.4836920538383,19.890235645746,1.48853913294235,332,-0.273115824038916,0.332,999
"bc9_00",22,18.4638193914965,19.9886469859147,1.19668205733178,111,-1.27421279952844,0.111,999
"bc10_00",12,15.9976067910592,19.9111669637262,1.78239312747764,30,-2.19567732411832,0.03,999
"na1_00",17,15.7004299070782,19.8069550934174,1.47829053121329,16,-2.77788776944193,0.016,999
"na2_00",14,16.3037411631077,19.8849330802752,1.55495435825786,24,-2.30308490930872,0.024,999
"na3_00",11,18.725166507116,19.8241264028563,1.87695120126188,246,-0.585502646526681,0.246,999
"na4_00",11,18.6918690025327,19.9187901338265,1.96766074008108,237,-0.623543025635221,0.237,999
"na5_00",18,20.2298907114671,19.9128681023817,1.33065354187948,542,0.238245793595185,0.542,999
"na6_00",14,16.0532049570253,19.9056506457718,1.61328392576685,28,-2.38795268905646,0.028,999
"na7_00",14,14.4139983908088,19.8307634307226,1.59411889932596,4,-3.39796801995393,0.004,999
"na8_00",16,17.7353428341966,19.887609326668,1.52216891716152,80,-1.41394720927876,0.08,999
"na9_00",28,19.2351199887573,19.9274318291416,1.03720382894145,227,-0.667479063484416,0.227,999
"na10_00",18,17.3281520843403,19.874952640315,1.3936273198815,55,-1.82746170345684,0.055,999
"fr1_01",20,17.7109147248922,19.936116566676,1.30198203864681,58,-1.70908797182533,0.058,999
"fr2_01",22,18.4873511782734,19.9216454917355,1.16895295029091,108,-1.22699062704377,0.108,999
"fr3_01",19,19.7491650754706,19.9672277596139,1.29759089475136,377,-0.16805195306568,0.377,999
"fr4_01",10,16.9087626811487,19.8531457289913,2.08561287098067,97,-1.41175914706459,0.097,999
"fr5_01",29,19.1529255959773,20.0201442352068,0.95178600994396,180,-0.911148756305579,0.18,999
"fr6_01",10,15.7197183587444,19.9258316673243,2.02207677948092,41,-2.08009574673993,0.041,999
"fr7_01",14,16.5422989684554,19.8260253435716,1.67509316288756,46,-1.96032462424695,0.046,999
"fr8_01",12,14.9544707385985,19.9078118717998,1.78591484076426,11,-2.77355953382501,0.011,999
"fr9_01",17,18.1920707676518,19.9747904518324,1.41549587715644,122,-1.25943120919707,0.122,999
"fr10_01",6,15.78366914024,19.6848996048433,2.92473066054407,110,-1.33387683085921,0.11,999
"fo1_01",22,18.8675656317787,19.9350424481581,1.19220037294418,166,-0.895383729618523,0.166,999
"fo2_01",12,19.9761575303333,19.9425370029259,1.73289077333237,436,0.0194014117478357,0.436,999
"fo3_01",18,19.7469649687467,19.9569597018862,1.36327481486512,374,-0.154036978347773,0.374,999
"fo4_01",22,18.7748972714664,19.8778063436146,1.17154229234805,173,-0.941416352915235,0.173,999
"fo5_01",27,19.1434422640408,19.9821459618539,1.06345830066692,184,-0.788656872852573,0.184,999
"fo6_01",16,16.9272691864521,19.8340275018631,1.47969850898057,44,-1.9644260623156,0.044,999
"fo7_01",18,19.1106340780576,19.9039093875154,1.41006026632345,231,-0.562582556507416,0.231,999
"fo8_01",17,19.167249502044,19.9633273309878,1.37593444090781,246,-0.578572499732333,0.246,999
"fo9_01",23,18.6614886454632,19.9334377617734,1.14231286599545,133,-1.11348576574228,0.133,999
"fo10_01",17,16.5330266496335,19.8844844754653,1.47770823181326,27,-2.2680105271656,0.027,999
"bc1_01",23,19.1682317397881,19.9400840904267,1.17195901953617,229,-0.658600119775578,0.229,999
"bc2_01",9,17.0334339603889,19.9435535740095,2.14544017668868,99,-1.35642076867983,0.099,999
"bc3_01",9,15.6375876191556,19.878340302547,2.17412844394948,49,-1.95055296534725,0.049,999
"bc4_01",11,15.1573792410873,19.8070496833368,1.83440862503,18,-2.53469722002286,0.018,999
"bc5_01",20,19.8075151652964,19.812674727958,1.32817396876432,439,-0.00388470394919598,0.439,999
"bc6_01",18,16.8418441191063,19.8638172959495,1.39296564879462,35,-2.16945276393443,0.035,999
"bc7_01",17,16.3425854934279,19.8866616548618,1.4097826289886,16,-2.51391674756015,0.016,999
