"","ntaxa","mpd.obs","mpd.rand.mean","mpd.rand.sd","mpd.obs.rank","mpd.obs.z","mpd.obs.p","runs"
"fr2000",66,9.42982677214852,9.92275841510971,0.341292825187252,79,-1.44430707762679,0.079,999
"fo2000",62,10.2333656557972,9.92455486443286,0.364603194120672,813,0.846977745516097,0.813,999
"na2000",66,10.112967463358,9.94777551722722,0.333910342034109,685,0.494719466083175,0.685,999
"fr2001",56,9.62365260642033,9.92549909147303,0.395515630276336,214,-0.763172077022105,0.214,999
"fo2001",56,10.0157363150729,9.92467408493364,0.396516559568722,581,0.229655553953047,0.581,999
"na2001",52,9.59183786056401,9.90102731780833,0.404497103110817,227,-0.764379904989363,0.227,999
"fr2002",40,9.30383844055687,9.91024061406321,0.501164820560629,120,-1.20998551500081,0.12,999
"fo2002",46,10.0152558484589,9.92698097078896,0.433666607165844,576,0.203554703570104,0.576,999
"na2002",49,9.5822498533931,9.9145878037834,0.421839506454366,212,-0.787830312963491,0.212,999
"fr2003",75,9.97756848792742,9.95375390607178,0.306529093595921,522,0.0776910980170468,0.522,999
"fo2003",85,9.78111776148375,9.94177100656342,0.269628196463976,287,-0.595832510051077,0.287,999
"na2003",108,9.9996452726863,9.94180868084574,0.216107692731917,594,0.267628565690634,0.594,999
