"","ntaxa","mpd.obs","mpd.rand.mean","mpd.rand.sd","mpd.obs.rank","mpd.obs.z","mpd.obs.p","runs"
"fr2000",66,19.8305142773893,20.7166377588253,0.619118049159158,86,-1.43126740149064,0.086,999
"fo2000",62,20.6569151573242,20.7146515897177,0.635284892281895,441,-0.0908827411055547,0.441,999
"na2000",66,20.7157816142191,20.7234191103983,0.613210614722358,458,-0.0124549314636739,0.458,999
"fr2001",56,20.345211038961,20.7168804711773,0.697481616751314,266,-0.532873445392649,0.266,999
"fo2001",56,20.3187347808442,20.6676095535471,0.67383424794508,289,-0.51774568266131,0.289,999
"na2001",52,18.8905542986425,20.7039990004144,0.710946764390645,12,-2.5507461213727,0.012,999
"fr2002",40,20.5208032852564,20.7045819657799,0.868845725270041,369,-0.211520498033589,0.369,999
"fo2002",46,19.7246150362319,20.7150427828191,0.805804667484686,113,-1.22911641810016,0.113,999
"na2002",49,20.4573567708333,20.7359820758258,0.762591638136831,309,-0.365366325905742,0.309,999
"fr2003",75,20.1222240990991,20.6876421410149,0.531092207671014,146,-1.06463253225895,0.146,999
"fo2003",85,19.6213804271709,20.6695252763267,0.509343005683301,41,-2.05783693397292,0.041,999
"na2003",108,21.1992363274489,20.7522978180023,0.395752244489067,880,1.12933916527407,0.88,999
