"","ntaxa","mpd.obs","mpd.rand.mean","mpd.rand.sd","mpd.obs.rank","mpd.obs.z","mpd.obs.p","runs"
"fr1_00",13,19,20.8814070480737,1.29057603596473,104,-1.45780410889726,0.104,999
"fr2_00",16,18.9166666666667,20.8596429763096,1.1217101110096,69,-1.73215547454965,0.069,999
"fr3_00",19,15.8888888888889,20.843627252984,0.973433757946944,1,-5.08995945912649,0.001,999
"fr4_00",20,18.2631578947368,20.870970970971,0.921544845795052,14,-2.82982764011259,0.014,999
"fr5_00",12,21.0757575757576,20.7136075469409,1.42556605554263,535,0.254039458507479,0.535,999
"fr6_00",17,17.75,20.8087867279044,1.06179796437417,12,-2.8807615295319,0.012,999
"fr7_00",9,19.1944444444444,20.7214436658881,1.80042245507452,178,-0.848133846109169,0.178,999
"fr8_00",16,18.6,20.7963046379713,1.14470953740565,56,-1.9186567126443,0.056,999
"fr9_00",26,19.2584615384615,20.8062308462308,0.85907012995304,63,-1.80167980913725,0.063,999
"fr10_00",17,19.0588235294118,20.7685847612318,1.08995351833849,89.5,-1.56865517937535,0.0895,999
"fo1_00",21,20.2238095238095,20.826312026312,0.961795521428112,231.5,-0.626435130003396,0.2315,999
"fo2_00",20,20.3315789473684,20.8250777092882,0.964845956747856,261.5,-0.511479328351254,0.2615,999
"fo3_00",15,17.5904761904762,20.7895991229325,1.20608051775509,22.5,-2.65249532295809,0.0225,999
"fo4_00",9,17.9722222222222,20.5853631409187,1.86135446454038,125.5,-1.40389214868955,0.1255,999
"fo5_00",25,16.42,20.7898698698699,0.860260762933874,1,-5.07970380395668,0.001,999
"fo6_00",21,20.1904761904762,20.8509604842938,0.936006082924306,213,-0.7056410271973,0.213,999
"fo7_00",20,19.7736842105263,20.8316843158948,1.0107707664056,149.5,-1.04672606344847,0.1495,999
"fo8_00",24,19.2753623188406,20.8139117378248,0.872854357663939,68.5,-1.7626645332927,0.0685,999
"fo9_00",19,18.4970760233918,20.8235721101218,1.03230149241499,33,-2.25369826918234,0.033,999
"fo10_00",23,19.9130434782609,20.7848362196188,0.909624658448745,169,-0.958409310104559,0.169,999
"bc1_00",18,17.3137254901961,20.8631703599024,1.01677178859022,4,-3.49089629505526,0.004,999
"bc2_00",17,21.3014705882353,20.8660866749102,1.06010588007586,595,0.410698517485759,0.595,999
"bc3_00",17,17.2573529411765,20.803391626921,1.13630218120903,12,-3.12068281165452,0.012,999
"bc4_00",5,19.7,20.9882882882883,2.77974944679316,302.5,-0.463454823158438,0.3025,999
"bc5_00",14,18.1538461538462,20.7070477070477,1.27020047093734,38,-2.0100776307518,0.038,999
"bc6_00",17,16.1764705882353,20.7600615321204,1.14325444056313,1,-4.00924831888459,0.001,999
"bc7_00",22,19.7142857142857,20.8488271821605,0.90064853604663,121.5,-1.25969390108026,0.1215,999
"bc8_00",16,20.6166666666667,20.7821071071071,1.12707413419424,375,-0.146787540784718,0.375,999
"bc9_00",22,18.961038961039,20.8674128674129,0.856514928492851,31,-2.22573342618606,0.031,999
"bc10_00",12,16.9242424242424,20.8804865471532,1.41255118506383,13,-2.800779302544,0.013,999
"na1_00",17,16.7647058823529,20.8241255961844,1.12648941394467,4,-3.60360218532054,0.004,999
"na2_00",14,16.5274725274725,20.7863027863028,1.28858772528958,7,-3.30503711563231,0.007,999
"na3_00",11,20.6727272727273,20.6476112476112,1.54442065592735,420.5,0.0162624250197837,0.4205,999
"na4_00",11,19.4,20.8384748384748,1.55089677917841,160.5,-0.927511655054747,0.1605,999
"na5_00",18,21.1372549019608,20.7515489345555,1.08993611374361,573,0.353879427006531,0.573,999
"na6_00",14,16.967032967033,20.8266618266618,1.27472702476038,11,-3.02780813825956,0.011,999
"na7_00",14,15.5714285714286,20.7425557425557,1.29240263128849,1,-4.00117350888687,0.001,999
