"","ntaxa","mpd.obs","mpd.rand.mean","mpd.rand.sd","mpd.obs.rank","mpd.obs.z","mpd.obs.p","runs"
"fr2000",66,12.0307897526059,12.6653507332706,0.336405356830466,37,-1.88629868038775,0.037,999
"fo2000",62,12.4879241791145,12.6527583448514,0.348269008522103,319,-0.473295532198932,0.319,999
"na2000",66,12.5058119085179,12.6504285732243,0.344785777049132,340,-0.419439183205635,0.34,999
"fr2001",56,12.5734523801871,12.6680932684296,0.376701727146308,387,-0.251235610092535,0.387,999
"fo2001",56,12.5468740157648,12.6707410224012,0.375650769563999,374,-0.329739792041971,0.374,999
"na2001",52,12.4153279152658,12.6568352879046,0.401166715906178,273,-0.602012487734138,0.273,999
"fr2002",40,12.3166458661904,12.658113024623,0.482328235696596,247,-0.707955979270757,0.247,999
"fo2002",46,12.4786022674424,12.6422522885963,0.436532304828236,371,-0.374886392928697,0.371,999
"na2002",49,12.4843631462543,12.6542443016424,0.413597656159135,337,-0.410740130796993,0.337,999
"fr2003",75,12.8938260815506,12.678796673349,0.294990111264553,760,0.728937682960977,0.76,999
"fo2003",85,12.5995789979037,12.6876958148251,0.267989663384702,356,-0.32880677489007,0.356,999
"na2003",108,12.7058361035475,12.6645818000588,0.210513757298187,581,0.19596963171513,0.581,999
