"","ntaxa","mpd.obs","mpd.rand.mean","mpd.rand.sd","mpd.obs.rank","mpd.obs.z","mpd.obs.p","runs"
"fr2000",66,19.5468629447515,20.3991792867221,0.515547609067527,60,-1.65322528313576,0.06,999
"fo2000",62,20.2232223941758,20.4042354579579,0.539890078462888,342,-0.335277625952156,0.342,999
"na2000",66,20.2644566257844,20.4533301836953,0.526009393725113,324,-0.359068792618658,0.324,999
"fr2001",56,20.0353654904151,20.4329209299413,0.57052376853215,229,-0.696825376003321,0.229,999
"fo2001",56,20.1313215091292,20.3673784770146,0.594668794044268,317,-0.396955364481178,0.317,999
"na2001",52,18.6103988657641,20.4324538039356,0.623224915946925,12,-2.92359129352688,0.012,999
"fr2002",40,20.1874438598708,20.413944169824,0.729236167854891,348,-0.310599391441983,0.348,999
"fo2002",46,19.6164733842425,20.4245159394427,0.657388215095227,124,-1.22917103873419,0.124,999
"na2002",49,20.4480566261462,20.4088363488589,0.660203291710671,483,0.0594063643422931,0.483,999
"fr2003",75,19.5971405830899,20.3894690929075,0.468339132330261,54,-1.69178369929337,0.054,999
"fo2003",85,19.3198581556106,20.3533888015341,0.413846993990801,12,-2.49737381431012,0.012,999
"na2003",108,20.6443724583242,20.4466215306717,0.306855215347948,720,0.644443756408921,0.72,999
