"","PD","SR"
"fr1_00",52.04740836745,13
"fr2_00",56.95412206825,16
"fr3_00",54.22451357461,19
"fr4_00",65.24318775131,20
"fr5_00",51.14200584057,12
"fr6_00",62.45338090057,17
"fr7_00",39.0483652655,9
"fr8_00",64.54407440597,16
"fr9_00",78.06407294068,26
"fr10_00",57.0608489892,17
"fo1_00",70.61948616697,21
"fo2_00",63.4372315191,20
"fo3_00",51.44611810789,15
"fo4_00",36.2171750079,9
"fo5_00",68.74404362768,25
"fo6_00",72.4049680359,21
"fo7_00",73.0151095121,20
"fo8_00",68.5553142041,24
"fo9_00",70.5149313461,19
"fo10_00",73.8644210725,23
"bc1_00",62.15719901447,18
"bc2_00",58.79959328706,17
"bc3_00",57.33210015026,17
"bc4_00",33.1665571004,5
"bc5_00",49.24591234051,14
"bc6_00",54.9992116148,17
"bc7_00",68.43831154507,22
"bc8_00",54.61809845122,16
"bc9_00",71.7202355017,22
"bc10_00",41.62779097842,12
"na1_00",62.75359277882,17
"na2_00",51.07433210442,14
"na3_00",45.5002127705,11
"na4_00",55.60695735432,11
"na5_00",59.48102962162,18
"na6_00",43.87362073332,14
"na7_00",43.26540078366,14
"na8_00",49.8056858066,16
"na9_00",81.08838975856,28
"na10_00",62.19244746132,18
"fr1_01",61.98056051168,20
"fr2_01",77.97419114378,22
"fr3_01",66.0318761402,19
"fr4_01",46.9423954075,10
"fr5_01",80.00169068945,29
"fr6_01",34.5024966439,10
"fr7_01",57.434790632,14
"fr8_01",44.0549849936,12
"fr9_01",61.93251910999,17
"fr10_01",35.8217167153,6
"fo1_01",74.88124326202,22
"fo2_01",50.9794775611,12
"fo3_01",61.6440182276,18
"fo4_01",61.34269421046,22
"fo5_01",87.4565652323,27
"fo6_01",48.63678704126,16
"fo7_01",65.48568064992,18
"fo8_01",63.7696159635,17
"fo9_01",71.10522154194,23
"fo10_01",61.4831793459,17
"bc1_01",69.73361302534,23
"bc2_01",44.37973879162,9
"bc3_01",38.58970578672,9
"bc4_01",45.19173602402,11
"bc5_01",61.41575502832,20
"bc6_01",59.33441222852,18
"bc7_01",55.27637265564,17
"bc8_01",51.54547465982,13
"bc9_01",60.83117480246,19
"bc10_01",40.7836967213,9
"na1_01",37.45706358882,8
"na2_01",47.41780095914,12
"na3_01",45.01592976302,13
"na4_01",56.28202522822,13
"na5_01",67.4864453144,20
"na6_01",38.69244183472,8
"na7_01",53.81188680382,12
"na8_01",45.470529247,9
"na9_01",49.67553390286,13
"na10_01",50.67756533346,16
"fr1_02",60.57198633638,18
"fr2_02",68.39549383666,18
"fr3_02",44.4303622991,9
"fr4_02",31.7942428301,6
"fr5_02",52.50700647418,14
"fr6_02",50.91481210732,14
"fr7_02",46.8991492154,11
"fr8_02",34.2533871035,7
"fr9_02",56.18673750404,17
"fr10_02",31.633195612,6
"fo1_02",59.15148244708,16
"fo2_02",51.73206527132,16
"fo3_02",59.54281081712,16
"fo4_02",59.0342631969,15
"fo5_02",64.778426599,22
"fo6_02",68.60360507164,19
"fo7_02",65.04613326618,18
"fo8_02",59.63557894918,16
"fo9_02",58.69784958386,16
"fo10_02",72.31978912998,20
"bc1_02",60.4283403374,14
"bc2_02",67.1979437455,19
"bc3_02",48.7127186787,11
"bc4_02",33.15856253592,7
"bc5_02",64.64287529587,21
"bc6_02",58.66306061202,17
"bc7_02",59.7056799741,15
"bc8_02",53.47889842342,14
"bc9_02",53.71334907884,15
"bc10_02",54.1236087072,12
"na1_02",54.51874722362,15
"na2_02",55.75503907848,14
"na3_02",44.59339319432,11
"na4_02",45.3832632689,11
"na5_02",54.4156609923,15
"na6_02",63.38651394682,19
"na7_02",61.72379631054,15
"na8_02",57.13405976748,15
"na9_02",52.25628489872,12
"na10_02",53.6461894855,12
"fr1_03",65.84798773602,21
"fr2_03",76.4840580601,27
"fr3_03",58.47745807102,20
"fr4_03",75.84962276656,26
"fr5_03",61.4375192653,22
"fr6_03",73.74152516986,25
"fr7_03",79.47813294744,29
"fr8_03",78.49054989028,27
"fr9_03",65.6221070414,23
"fr10_03",44.22560964716,13
"fo1_03",84.2831127791,32
"fo2_03",79.66046584805,27
"fo3_03",91.9138997765,33
"fo4_03",74.04088755026,24
"fo5_03",95.61801592841,36
"fo6_03",81.353155462,29
"fo7_03",89.30823196216,34
"fo8_03",77.94547802712,23
"fo9_03",88.69372312355,34
"fo10_03",70.51858021196,23
"bc1_03",83.7770168004,29
"bc2_03",72.56134014281,30
"bc3_03",64.02827624842,21
"bc4_03",62.81472883276,18
"bc5_03",90.53267559908,34
"bc6_03",87.73004375372,36
"bc7_03",71.97080211831,25
"bc8_03",67.49515825515,23
"bc9_03",79.55186025946,27
"bc10_03",60.44661989586,15
"na1_03",85.01682800414,33
"na2_03",82.13453094182,32
"na3_03",73.77286386681,26
"na4_03",73.94147567806,26
"na5_03",69.9257211124,27
"na6_03",59.61471488,21
"na7_03",79.4000014444,31
"na8_03",85.9518612666,32
"na9_03",75.22156760334,26
"na10_03",79.26271591972,28
