"","PD","SR"
"fr1_00",85.04867944918,13
"fr2_00",100.30535042719,16
"fr3_00",80.70087514759,19
"fr4_00",107.54573967239,20
"fr5_00",102.68602033339,12
"fr6_00",92.39137298149,17
"fr7_00",66.06829150729,9
"fr8_00",105.40245091109,16
"fr9_00",133.28767970259,26
"fr10_00",102.47264250155,17
"fo1_00",120.40185415589,21
"fo2_00",112.73305490565,20
"fo3_00",80.58568212119,15
"fo4_00",63.39848801309,9
"fo5_00",114.4236694314,25
"fo6_00",115.9935018433,21
"fo7_00",116.42710162069,20
"fo8_00",129.85629681389,24
"fo9_00",114.17401867169,19
"fo10_00",124.12536540129,23
"bc1_00",98.91751614999,18
"bc2_00",94.58284922995,17
"bc3_00",83.48612098115,17
"bc4_00",45.65947288249,5
"bc5_00",87.71575981249,14
"bc6_00",82.45047262059,17
"bc7_00",120.91087823715,22
"bc8_00",110.87051890569,16
"bc9_00",121.13012507959,22
"bc10_00",74.27424093365,12
"na1_00",89.98660493169,17
"na2_00",71.81494808469,14
"na3_00",73.96524566559,11
"na4_00",77.40404057099,11
"na5_00",118.64866292075,18
"na6_00",77.66665621539,14
"na7_00",65.04156361469,14
"na8_00",79.35590275065,16
"na9_00",151.44060027175,28
"na10_00",101.59487410749,18
"fr1_01",112.22547998639,20
"fr2_01",125.81043000399,22
"fr3_01",125.13655135309,19
"fr4_01",79.17272886929,10
"fr5_01",147.30909552719,29
"fr6_01",67.97821838999,10
"fr7_01",85.23026477749,14
"fr8_01",64.69270245029,12
"fr9_01",109.15183877052,17
"fr10_01",44.99792625599,6
"fo1_01",122.24350997439,22
"fo2_01",86.76124651499,12
"fo3_01",108.04010166749,18
"fo4_01",108.80519516369,22
"fo5_01",154.81786249555,27
"fo6_01",93.09475331649,16
"fo7_01",121.03752441825,18
"fo8_01",107.29857259679,17
"fo9_01",121.31617252949,23
"fo10_01",93.30424704819,17
"bc1_01",137.48576007175,23
"bc2_01",74.41807924719,9
"bc3_01",60.62383631579,9
"bc4_01",67.43743560909,11
"bc5_01",119.85317248945,20
"bc6_01",104.84896494589,18
"bc7_01",100.47883744289,17
"bc8_01",90.35737587429,13
"bc9_01",92.80442933685,19
"bc10_01",71.34649903495,9
"na1_01",60.39302252469,8
"na2_01",72.84602191699,12
"na3_01",84.82939485139,13
"na4_01",100.87084047639,13
"na5_01",120.93088860369,20
"na6_01",68.14288968009,8
"na7_01",85.28827583409,12
"na8_01",70.75338164339,9
"na9_01",79.53513174099,13
"na10_01",70.86154769019,16
"fr1_02",108.16135528435,18
"fr2_02",118.40049537192,18
"fr3_02",64.60016618259,9
"fr4_02",45.36708233979,6
"fr5_02",97.96916094589,14
"fr6_02",93.16231938563,14
"fr7_02",76.12624593599,11
"fr8_02",60.50188222749,7
"fr9_02",95.31517928799,17
"fr10_02",56.89944228695,6
"fo1_02",105.49289451399,16
"fo2_02",91.60427296069,16
"fo3_02",109.16353571609,16
"fo4_02",111.82253995309,15
"fo5_02",119.51992465735,22
"fo6_02",109.29345268275,19
"fo7_02",117.70674864125,18
"fo8_02",93.07287993985,16
"fo9_02",97.61245749229,16
"fo10_02",118.87010007395,20
"bc1_02",90.64606420609,14
"bc2_02",110.55259188689,19
"bc3_02",91.03071166765,11
"bc4_02",45.26886686029,7
"bc5_02",117.47445683729,21
"bc6_02",111.38838900575,17
"bc7_02",101.88480248869,15
"bc8_02",104.99137816129,14
"bc9_02",94.78107169265,15
"bc10_02",99.66254704785,12
"na1_02",87.43512802459,15
"na2_02",98.24137151909,14
"na3_02",84.74108487165,11
"na4_02",77.78695029629,11
"na5_02",108.27514475119,15
"na6_02",113.97990997929,19
"na7_02",113.89857388579,15
"na8_02",106.51068586675,15
"na9_02",83.25834450295,12
"na10_02",94.21009569379,12
"fr1_03",119.65626964179,21
"fr2_03",127.64514510125,27
"fr3_03",112.59104322289,20
"fr4_03",140.23266607031,26
"fr5_03",105.99524335354,22
"fr6_03",119.43164783398,25
"fr7_03",134.95143283688,29
"fr8_03",129.44463075669,27
"fr9_03",111.00546359225,23
"fr10_03",76.90951046079,13
"fo1_03",146.04831114935,32
"fo2_03",131.47553179779,27
"fo3_03",153.76317174385,33
"fo4_03",117.48538638949,24
"fo5_03",165.03926696497,36
"fo6_03",138.87846813045,29
"fo7_03",152.03618688555,34
"fo8_03",138.17519908305,23
"fo9_03",157.65051115131,34
"fo10_03",112.23871739845,23
"bc1_03",139.11830531345,29
"bc2_03",138.98823422929,30
"bc3_03",114.07922995759,21
"bc4_03",110.80320546449,18
"bc5_03",159.77277766581,34
"bc6_03",170.88171936965,36
"bc7_03",125.76847066255,25
"bc8_03",113.58395435828,23
"bc9_03",135.93912274546,27
"bc10_03",92.61250353775,15
"na1_03",147.21440148961,33
"na2_03",150.22491736812,32
"na3_03",131.91834305928,26
"na4_03",125.41315233138,26
"na5_03",132.43582834705,27
"na6_03",103.16191456579,21
"na7_03",139.42139960839,31
"na8_03",156.71233308775,32
"na9_03",131.87493311289,26
"na10_03",133.01504503585,28
