"","fr1_00","fr2_00","fr3_00","fr4_00","fr5_00","fr6_00","fr7_00","fr8_00","fr9_00","fr10_00","fo1_00","fo2_00","fo3_00","fo4_00","fo5_00","fo6_00","fo7_00","fo8_00","fo9_00","fo10_00","bc1_00","bc2_00","bc3_00","bc4_00","bc5_00","bc6_00","bc7_00","bc8_00","bc9_00","bc10_00","na1_00","na2_00","na3_00","na4_00","na5_00","na6_00","na7_00","na8_00","na9_00","na10_00","fr1_01","fr2_01","fr3_01","fr4_01","fr5_01","fr6_01","fr7_01","fr8_01","fr9_01","fr10_01","fo1_01","fo2_01","fo3_01","fo4_01","fo5_01","fo6_01","fo7_01","fo8_01","fo9_01","fo10_01","bc1_01","bc2_01","bc3_01","bc4_01","bc5_01","bc6_01","bc7_01","bc8_01","bc9_01","bc10_01","na1_01","na2_01","na3_01","na4_01","na5_01","na6_01","na7_01","na8_01","na9_01","na10_01","fr1_02","fr2_02","fr3_02","fr4_02","fr5_02","fr6_02","fr7_02","fr8_02","fr9_02","fr10_02","fo1_02","fo2_02","fo3_02","fo4_02","fo5_02","fo6_02","fo7_02","fo8_02","fo9_02","fo10_02","bc1_02","bc2_02","bc3_02","bc4_02","bc5_02","bc6_02","bc7_02","bc8_02","bc9_02","bc10_02","na1_02","na2_02","na3_02","na4_02","na5_02","na6_02","na7_02","na8_02","na9_02","na10_02","fr1_03","fr2_03","fr3_03","fr4_03","fr5_03","fr6_03","fr7_03","fr8_03","fr9_03","fr10_03","fo1_03","fo2_03","fo3_03","fo4_03","fo5_03","fo6_03","fo7_03","fo8_03","fo9_03","fo10_03","bc1_03","bc2_03","bc3_03","bc4_03","bc5_03","bc6_03","bc7_03","bc8_03","bc9_03","bc10_03","na1_03","na2_03","na3_03","na4_03","na5_03","na6_03","na7_03","na8_03","na9_03","na10_03"
"fr1_00",0,19.0952,20.7728421052632,21.853734939759,19.8846153846154,16.82625,13.458125,12.6194936708861,21.5378378378378,21.1280701754386,25.228,29.8902702702703,56.90375,22.0054545454545,28.2934065934066,32.7232558139535,24.6579310344828,30.77328,23.121592920354,31.4853658536585,34.404,38.2287878787879,30.7663829787234,33.8090909090909,34.461,29.9933333333333,27.7135384615385,25.044,35.5188429752066,40.5340740740741,33.4877777777778,35.494,17.9304761904762,36.2066666666667,34.0533678756477,33.8336,26.4570731707317,28.0552,38.1101204819277,32.5067924528302,23.5265546218487,15.6096153846154,16.889696969697,17.0575757575758,15.34,17.7169230769231,16.132,13.9574545454545,14.7232478632479,12.6855172413793,22.1749367088608,32.7584126984127,20.1707692307692,45.9676470588235,16.1841095890411,18.9070588235294,17.3238961038961,24.7444444444444,25.0066666666667,15.7067692307692,19.8227450980392,29.5648275862069,25.851746031746,26.4128,24.4008219178082,31.2816666666667,27.7736231884058,28.3574468085106,36.6164,33.4969230769231,27.3821428571429,27.6172881355932,26.4420289855072,28.69,27.4811111111111,27.0992156862745,32.4792307692308,26.0149367088608,32.7031578947368,32.5869841269841,31.5339534883721,29.3078048780488,32.7294117647059,35.8866666666667,22.5419875776398,28.44,15.81,12.7083116883117,14.2839344262295,12.6806060606061,16.1624561403509,36.6955244755245,25.2882706766917,54.3578274111675,15.0048756218905,17.612962962963,17.1863448275862,22.4307692307692,19.1658333333333,20.770099009901,40.6313975576662,39.1134453781513,39.8560714285714,30.9448780487805,38.9782671480144,37.4634285714286,36.0669333333333,39.2940199335548,39.5171764705882,31.0777777777778,38.0029441624365,38.7607594936709,39.5452173913043,27.3644444444444,39.2914585764294,33.9820454545455,37.1349748743719,30.3027692307692,39.0741935483871,34.3839603960396,28.2415384615385,33.1391578947368,22.53,32.9881481481481,24.3661052631579,31.979619047619,31.6816666666667,25.1209836065574,33.2528712871287,26.0414285714286,31.7570666666667,39.5726213592233,38.2488461538462,55.7056865912762,22.134606741573,30.3873684210526,32.1183333333333,27.7354545454545,34.2514563106796,31.8329230769231,37.851677852349,37.4938095238095,33.436463022508,29.6084444444444,29.8038805970149,35.8325,32.3669473684211,34.0182352941176,35.0275555555556,40.8952941176471,35.6612698412698,35.8043971631206,36.8642105263158,32.0446666666667,38.5828915662651,34.9861904761905,36.1585365853659,32.3217322834646,34.7496202531646,33.8816470588235
"fr2_00",19.0952,0,22.8061052631579,24.3419277108434,23.06,20.944375,18.360625,17.7232911392405,23.8517117117117,23.3526315789474,27.0828571428571,30.2913513513514,58.44275,24.0327272727273,28.1879120879121,34.866976744186,26.9924137931034,31.19072,25.6299115044248,34.2678048780488,34.07,37.5521212121212,30.4787234042553,31.5218181818182,34.277,30.4122222222222,29.3769230769231,27.1464,35.6642975206612,39.3388888888889,33.7072222222222,35.124,21.6028571428571,35.9177777777778,34.1665284974093,33.7136,27.7380487804878,28.2424,37.8650602409639,32.2803773584906,25.7006722689076,19.8834615384615,21.2472727272727,20.9848484848485,19.81625,21.4435897435897,20.3997333333333,18.6469090909091,19.2558974358974,17.8455172413793,24.8367088607595,35.7971428571429,23.4958974358974,48.3435294117647,20.8972602739726,22.3258823529412,21.5581818181818,26.9185185185185,26.6880952380952,19.9467692307692,23.4137254901961,30.0365517241379,26.7603174603175,27.464,26.3843835616438,31.7827777777778,28.5828985507246,30.04,35.302,32.7615384615385,28.7378571428571,28.4925423728814,27.6385507246377,30.0422222222222,29.1372222222222,28.3462745098039,33.1438461538462,27.2837974683544,32.6221052631579,32.4428571428571,32.1353488372093,30.1178861788618,31.7129411764706,33.065,25.3852173913043,28.722,20.4278947368421,17.8932467532468,19.0462295081967,18.0424242424242,20.6056140350877,38.0583216783217,27.5396992481203,56.4068426395939,19.8325373134328,21.9085185185185,21.2848275862069,25.8330769230769,23.4091666666667,24.1867326732673,39.6658073270014,38.5020168067227,38.9307142857143,31.9725203252033,38.429963898917,37.1896326530612,34.9949333333333,38.7083720930233,38.5785882352941,32.3385185185185,37.5280203045685,38.2537552742616,38.5226086956522,29.4244444444444,38.6842240373396,34.3406818181818,36.9613065326633,31.0138461538462,38.6144086021505,34.9669306930693,28.645641025641,31.7425263157895,24.491,32.6725925925926,26.1526315789474,31.4931428571429,31.2061111111111,27.1681967213115,31.9158415841584,26.6035714285714,32.3277333333333,38.1617475728155,37.1123076923077,57.4785460420032,24.5979775280899,31.2442105263158,31.31,29.5745454545455,33.6774757281553,32.1215384615385,36.9351677852349,35.777619047619,32.3001286173633,29.8857777777778,30.4611940298507,35.238125,31.6696842105263,33.3064705882353,34.452,41.2329411764706,33.8752380952381,34.1025531914894,35.7143157894737,31.7193333333333,37.2626506024096,34.2566666666667,34.9970731707317,32.039842519685,32.7187341772152,33.5329411764706
"fr3_00",20.7728421052632,22.8061052631579,0,24.2876347495244,23.6796221322537,22.303125,20.0703947368421,19.9192538307795,24.2800379326695,22.7837488457987,26.9401503759398,28.8071123755334,61.3689144736842,23.3325358851675,25.7076923076923,35.9309669522644,27.3546279491833,29.744,26.0504890544946,36.3378690629012,32.0986842105263,35.413716108453,28.135274356103,27.2325358851675,32.5880263157895,28.9415204678363,29.183967611336,27.8564210526316,34.0840365376251,36.4817738791423,32.1918128654971,33.0013157894737,23.1423558897243,33.8847953216374,32.9407144805018,31.9429473684211,26.9078305519897,26.5418947368421,36.0425491439442,30.2605759682224,25.8736842105263,21.6145748987854,23.1728867623604,22.7716108452951,21.7161184210526,22.851012145749,21.7734736842105,20.3219138755981,21.1196581196581,19.7606170598911,25.417055296469,37.9197994987469,24.8165991902834,51.090350877193,23.2802451333814,23.465386996904,23.736978810663,27.2105263157895,25.9946115288221,21.7525506072874,24.8351909184727,29.2555353901996,25.9149540517962,27.0172631578947,27.0571016582552,30.7747076023392,27.7914569031274,30,32.1712631578947,30.4963562753036,28.6355263157895,28.1835860838537,27.5476735316552,29.9008771929825,29.2209064327485,28.2786377708978,32.4046558704453,26.9151232511659,30.6096952908587,30.7406850459482,30.8753977968176,28.791784338896,28.4907120743034,27.6864035087719,25.8319058515855,27.0810526315789,22.0909972299169,19.8568694463431,20.8366695427092,20.2357256778309,22.2795013850415,38.4242914979757,27.6440047487139,59.7078920651884,21.8724797067295,23.5428849902534,22.7567332123412,26.9103238866397,25.1919956140351,25.4924439812402,37.0969363707777,36.4763600176913,36.5815789473684,30.8393667094566,36.3520805624169,35.3430290010741,32.3309473684211,36.5353733170135,35.9269349845201,32.7614035087719,35.4127705049426,36.1163224516989,35.9601176855181,30.5152046783626,36.6459251980593,33.0553229665072,35.3522613065327,29.9613765182186,36.5687606112054,33.8195935383012,26.6234817813765,27.9980055401662,23.8547368421053,30.4721247563353,25.5793905817175,29.3181954887218,28.2437865497076,27.2100086281277,28.3364252214695,24.2496240601504,31.1584561403509,35.2846193152785,34.2728744939271,60.5809540005102,24.8096984033116,30.4717451523546,28.3934210526316,29.7124401913876,31.4211548288196,30.463967611336,34.3742847050512,32.1515664160401,29.5884582839736,28.1195321637427,29.3593087195601,32.9441337719298,29.0723545706371,30.7021671826625,32.1221052631579,41.0585139318885,29.9035087719298,30.3329600597238,32.8627146814404,29.5684210526316,34.1421052631579,31.5917293233083,32.1183568677792,29.9215084956486,28.3412391738841,31.2731888544892
"fr4_00",21.853734939759,24.3419277108434,24.2876347495244,0,23.7049737411183,22.3661521084337,20.757906626506,20.7741345127345,25.8090741343753,24.4996829422955,28.5197934595525,30.9583197655487,61.3599774096386,25.2962760131435,28.2098503905733,36.8226393947885,28.6863315330287,28.6803855421687,27.027614884316,36.9844255069057,31.9219879518072,31.0374224169405,28.7475006408613,30.9419496166484,29.9646084337349,28.6178045515395,28.516218721038,28.6048192771084,30.5779149656477,33.2801204819277,29.3065595716198,30.7689759036145,24.3826735513482,31.6512717536814,29.2427742056308,29.650843373494,26.7005583308845,28.5624096385542,32.4428073740746,29.6326437826779,26.6929229523135,22.4543558850788,23.6283315078496,23.5352318364367,22.2923300344234,22.3290083410565,22.0382329317269,20.9007667031763,21.6753166512203,20.4090153718322,26.3652585023639,38.0726716389367,24.4023787457522,51.0864044412946,23.5693183693679,23.274415308292,24.2791425442028,27.3105756358768,27.4401893287435,22.559406858202,24.73127805339,28.1973410884919,25.4643335245745,26.8231325301205,27.4403366892226,28.9195113788487,28.4185437401781,28.2860804921815,31.4921686746988,32.3549582947173,26.8379948364888,27.6934858076373,26.3046970490658,30.6154618473896,28.2491633199465,27.1519017245452,29.5335959221501,27.0867774897057,29.5577045022194,29.2176324344999,31.3224992995237,29.4052306788128,30.8571934798016,31.5376506024096,25.9247923370501,29.055421686747,22.4205770450222,20.513378188077,21.3299427217065,20.890836071559,22.8692665398436,38.7936641671581,27.9030709303379,59.6070454406458,22.4512977282263,24.3942436412316,23.5380141254674,27.5220111214087,25.7887801204819,25.826076583562,32.5414657272237,32.0419914953933,33.0425989672978,28.5798804976002,32.4394328215389,31.7444307843619,32.9590361445783,32.2110635231958,32.6946846208363,33.0803212851406,31.5605161763807,31.8566925931574,32.5043777594851,31.64859437751,31.9618169293276,30.7213170865279,31.2131440334201,30.4610750695088,32.436455499417,30.355600620303,28.7395736793327,30.6120481927711,25.6909638554217,32.9674252565819,26.259226379201,28.0398164084911,30.7843875502008,28.4811376654158,30.6599069545509,26.7749569707401,32.5095582329317,37.9672476313019,36.9425393883225,60.4569554469899,26.1662379856505,31.8126188966392,30.4057898259705,31.0728368017525,31.9936834717511,31.1812789620019,33.7299264170777,31.5389414802065,27.2236082594042,28.5496653279786,30.0338068692681,31.679781626506,30.432466708941,31.2193479801559,32.1100401606426,41.6991495393338,31.5866322432587,31.3097496368453,31.9759036144578,30.7867469879518,32.8681230947888,30.7145725760184,31.5838965618572,31.7206147424343,31.1833155406436,29.8034018426648
"fr5_00",19.8846153846154,23.06,23.6796221322537,23.7049737411183,0,20.7111378205128,18.7011217948718,18.4443362544628,24.6421806421806,23.7611336032389,27.7047619047619,31.0963270963271,59.559375,24.7377622377622,28.7872640180332,35.5664877757901,27.711759504863,28.8658461538462,25.931245745405,35.1813633520951,32.3839743589744,31.8815073815074,29.2836879432624,32.4825174825175,30.336858974359,28.6866096866097,27.8351084812623,27.5384615384615,30.8618351345624,34.4831433998101,29.5733618233618,31.4826923076923,22.6422466422466,32.1652421652422,29.5500199282583,29.9974358974359,26.3508442776735,28.9558974358974,32.914890330553,30.1823899371069,26.1066580478345,20.5419132149901,21.6231546231546,21.5975135975136,20.3268086080586,20.740959894806,20.2752136752137,18.9207459207459,19.7795310103002,18.3213969938108,25.4222654982149,36.3422873422873,22.9207758053912,49.1748366013072,21.3061116965227,21.8244343891403,22.0929070929071,26.4729344729345,27.0918803418803,20.5692307692308,23.1711915535445,28.2988505747126,25.4611314611315,26.7558974358974,26.6259220231823,28.9953703703704,28.5165366034931,27.73431533006,32.6130769230769,33.069033530572,26.4070512820513,27.4098218166015,25.8862876254181,30.2941595441595,27.6698717948718,26.7898441427853,29.3989151873767,27.1876014281078,29.9588394062078,29.8021978021978,31.8771615980918,29.8905565978737,32.0580693815988,33.5758547008547,25.2122949514254,29.2,20.4861673414305,18.3216783216783,19.2990752416982,18.6511266511266,21.0681511470985,38.419759727452,27.3339117023328,57.5522842639594,20.3798953948208,22.4691358024691,21.8470380194518,26.1947731755424,23.8229166666667,24.3658288905814,33.464391330063,32.6878366731308,34.1327838827839,28.7023139462164,33.168749421457,32.2526425954997,34.5986324786325,32.9794701422608,33.5852187028658,32.5375118708452,32.1982298581283,32.5415990479282,33.7714604236343,30.3831908831909,32.6062591628519,31.0016025641026,31.6047545419405,31.0226824457594,33.0002757099531,30.4072099517644,29.0157790927022,32.1282051282051,25.0538461538462,33.4112060778727,25.7325236167341,28.7413919413919,31.6639957264957,27.5447667087011,32.008885503935,27.1941391941392,32.3716239316239,38.8899676375405,37.8141025641026,58.5406569736134,25.2258715067704,31.4439946018893,31.4099002849003,30.1958041958042,32.8615882499378,31.4832347140039,34.5171226983308,32.9754273504274,28.3119795531371,28.9880341880342,29.9605817068504,32.3345352564103,31.1991902834008,31.9668174962293,32.6849002849003,41.3748114630468,33.0494505494505,32.7406801236588,33.012955465587,31.274358974359,34.0631757800433,31.5054945054945,32.7204502814259,32.0916616192207,32.8620577734502,30.6214177978884
"fr6_00",16.82625,20.944375,22.303125,22.3661521084337,20.7111378205128,0,15.58984375,15.0666534810127,23.0099943693694,22.4191337719298,26.5575892857143,30.7495777027027,59.04150390625,23.3522727272727,28.8229739010989,34.3343023255814,26.0991379310345,29.381375,24.2993639380531,33.4386432926829,33.25078125,33.9789299242424,29.9797207446809,33.9275568181818,31.76875,29.0685763888889,27.3689903846154,26.164375,32.3529183884297,36.7650462962963,30.7426215277778,32.8375,20.0915178571429,33.6362847222222,30.8158193005181,31.324375,26.0956554878049,28.676875,34.7008659638554,31.0362617924528,24.4483981092437,17.6995192307692,18.828125,19.0033143939394,17.3377511160714,18.5901442307692,17.6697916666667,15.9457386363636,16.734375,14.9412715517241,23.4831882911392,34.5567956349206,21.0104166666667,48.0173100490196,18.2384417808219,19.8402573529412,19.2761769480519,25.2604166666667,25.9784226190476,17.7252403846154,20.9736519607843,28.4337284482759,25.2284226190476,26.16125,25.189426369863,29.5251736111111,27.8276721014493,27.3882978723404,34.4390625,33.5348557692308,26.2399553571429,27.1316207627119,25.6071105072464,29.1501736111111,27.0086805555556,26.3655024509804,30.1484375,26.0808939873418,30.9761513157895,30.6386408730159,31.2954215116279,29.2315802845528,32.6571691176471,35.56640625,23.2716420807453,28.94375,17.6282894736842,14.9969561688312,16.2758709016393,15.1070075757576,18.1143092105263,37.4804414335664,25.8925046992481,56.6642925126904,17.1459110696517,19.7193287037037,19.0746767241379,23.9645432692308,21.1595052083333,22.1279393564356,36.0946616350068,34.9520745798319,36.1180245535714,29.0242632113821,35.1639778880866,34.0133290816327,35.0077083333333,35.1629464285714,35.8856617647059,31.5700231481481,34.2291402284264,34.7045754219409,35.7388392857143,28.8090277777778,34.9562609393232,31.7578125,33.4466865577889,30.2180288461538,35.1634744623656,31.5125309405941,28.8177083333333,32.9182565789474,23.8015625,33.6550925925926,24.7919407894737,29.9004464285714,32.0023871527778,26.2886782786885,32.9308477722772,26.8264508928571,32.2264583333333,39.9315837378641,38.6844951923077,57.8700777463651,23.4875351123596,31.0423519736842,31.953125,28.9616477272727,33.4570691747573,31.6242788461538,36.0563129194631,35.0563616071429,30.2630124598071,29.0496527777778,29.7441697761194,33.7027994791667,31.8912828947368,32.9572610294118,33.7878472222222,41.4319852941176,34.6731150793651,34.3881870567376,34.6722039473684,31.7463541666667,35.9951054216867,32.9534970238095,34.1699695121951,32.4747785433071,34.3107199367089,31.7049632352941
"fr7_00",13.458125,18.360625,20.0703947368421,20.757906626506,18.7011217948718,15.58984375,0,11.4489715189873,20.8155968468468,20.2434210526316,24.6723214285714,29.5743243243243,58.11181640625,21.1988636363636,27.8258928571429,32.6075581395349,24.0533405172414,29.634,22.2336836283186,31.3734756097561,33.51796875,36.4533617424242,29.907579787234,33.7272727272727,33.03203125,28.921875,26.5653846153846,24.515,33.7827995867769,38.9467592592593,31.8980034722222,34.071875,17.2410714285714,34.7795138888889,32.4899611398964,32.40375,25.374237804878,27.76375,36.4152861445783,31.4811320754717,22.780724789916,14.6466346153846,15.8873106060606,16.1685606060606,14.2712053571429,16.5104166666667,14.875,12.7477272727273,13.6688034188034,11.4294181034483,21.4252373417722,32.6210317460317,19.1346153846154,46.5453431372549,15.1209332191781,17.8033088235294,16.2922077922078,23.884837962963,24.3180803571429,14.6625,18.7738970588235,28.6961206896552,24.953869047619,25.688125,23.8180650684931,30.0525173611111,27.1041666666667,27.0940824468085,35.58875,33.2307692307692,26.2265625,26.8257415254237,25.4841485507246,28.0026041666667,26.4071180555556,26.1268382352941,30.9669471153846,25.3417721518987,31.4679276315789,31.484623015873,30.828488372093,28.5663109756098,32.3299632352941,35.6458333333333,21.519798136646,27.85,14.5908717105263,11.4541396103896,13.0601946721311,11.4597537878788,15.0800438596491,36.5465472027972,24.421757518797,55.4436230964467,13.8439054726368,16.6261574074074,16.1474137931034,21.5823317307692,18.2109375,19.8295173267327,38.6780444369064,37.2651654411765,38.2915736607143,29.4001524390244,37.2131092057762,35.7401785714286,35.54375,37.4199543189369,37.8742647058824,30.6365740740741,36.1927347715736,36.8767141350211,37.9730201863354,26.9149305555556,37.3738331388565,32.5598366477273,35.3603957286432,29.6685096153846,37.232190860215,32.6506806930693,27.6394230769231,32.7421052631579,21.74453125,32.7679398148148,23.3592105263158,30.8083333333333,31.2306857638889,24.3919057377049,32.7843440594059,25.3973214285714,31.25,39.6438106796116,38.2521033653846,56.8400646203554,21.311797752809,29.8787006578947,31.6106770833333,27.15625,33.6259101941748,31.1721153846154,36.9022651006711,36.4239211309524,32.1047025723473,28.725,29.0144589552239,34.6036783854167,31.7273026315789,33.1557904411765,34.1371527777778,40.9540441176471,35.0706845238095,35.0434397163121,35.8269736842105,31.4151041666667,37.3949548192771,33.774181547619,35.1619664634146,31.8351377952756,34.3615506329114,32.6577205882353
"fr8_00",12.6194936708861,17.7232911392405,19.9192538307795,20.7741345127345,18.4443362544628,15.0666534810127,11.4489715189873,0,20.0803968525488,20.1230290917166,24.4094032549729,29.7588094423537,57.5433148734177,21.0742232451093,28.313673668104,32.1527818663527,23.6254910519424,30.3878481012658,21.6377282401703,30.4242050015437,34.275,38.0849635596471,30.6242930245085,34.6490218642117,34.1314873417722,29.4634317862166,26.6872444011685,23.9448101265823,35.081493880113,40.775550867323,32.9810126582278,35.3598101265823,16.2501506931887,36.0126582278481,33.5369580901161,33.4412658227848,25.6634763815993,28.0324050632911,37.8436022571298,32.3744924767136,22.511009467078,13.7543816942551,15.0322209436133,15.1557345607979,13.3588946654611,15.9776046738072,14.2882700421941,12.0050632911392,12.8303581088391,10.6505892623309,20.9637878545105,31.9698613622664,18.6217137293087,45.8666542566394,14.0326859719091,17.3172002978407,15.0918954463258,23.6736990154712,24.3928571428571,13.5665043816943,18.180565897245,29.054124836316,25.3017882258389,25.7903797468354,23.3044910698804,30.6977848101266,27.1753806640983,27.3934823592782,36.956582278481,33.7088607594937,26.4699367088608,26.7738682686119,25.5129334067144,27.7668776371308,26.4112165963432,26.1752295855051,31.6511684518014,25.4475244351867,32.4133910726183,32.3972272453285,31.3694436267295,29.1419162292889,33.180565897245,37.0458860759494,21.4417013916188,27.8556962025317,13.9448700866089,10.6366924215025,12.2931106038597,10.5688530878404,14.3698645347546,36.6199876073294,24.4227657751975,54.7023067531967,12.9248063480068,15.8584153774027,15.4058489742471,21.1501947419669,17.429720464135,19.1993984208547,40.5996942788932,38.893016700351,39.9783001808318,30.3910672018113,38.8136452954348,37.1320588995092,36.6393248945148,39.1555994785315,39.5918093819806,30.2742616033755,37.7626421641072,38.5678043048657,39.7462064627722,25.9739803094233,39.058062419686,33.4897151898734,36.7514471089625,30.1149951314508,38.8546345447121,33.7602456448176,28.0486854917235,33.7908061292472,21.6215189873418,33.2156586966714,23.3926715522985,31.8311030741411,32.0141526019691,24.0166009545549,33.7744078205289,25.9543399638336,31.4217721518987,40.377288927123,39.011441090555,56.2043107502914,20.8550704025032,29.8587608261159,32.3725386779184,26.7284234752589,34.4645446724837,31.7598831548199,38.0570894571404,37.9955545509343,33.6143514184541,29.3229254571027,29.2231248819195,35.6304720464135,32.4333111259161,34.0215934475056,35.0064697609001,41.0316455696203,36.3599557966647,36.3384504892719,37.1147235176549,31.9472573839662,38.9090285191399,34.9611211573237,36.3871565297931,32.2329313266222,35.5707418682903,33.8717795979151
"fr9_00",21.5378378378378,23.8517117117117,24.2800379326695,25.8090741343753,24.6421806421806,23.0099943693694,20.8155968468468,20.0803968525488,0,24.5963331752805,28.2473616473616,30.927197467738,60.8852195945946,24.9594594594595,28.4710424710425,36.5001047559187,28.0950605778192,31.2562882882883,26.4036514390497,35.9140848165238,33.893018018018,36.992901992902,30.6185547249377,31.2899262899263,34.1298423423423,30.3578578578579,29.810395010395,28.1441441441441,35.4766584766585,38.4945779112446,33.5397897897898,34.6695945945946,23.6404976404976,35.7062062062062,34.0143303925687,33.376036036036,28.3504724236432,28.8187387387387,37.4050255074351,32.2099269080401,26.2567189037777,22.045738045738,23.4122304122304,22.5700245700246,21.7407094594595,23.1069531069531,22.4683483483483,21.0972972972973,21.4984214984215,20.4645852749301,25.9411563462196,37.968110968111,25.0250635250635,50.672893481717,22.9088609157102,23.8967673555909,22.4805194805195,27.8601935268602,27.7107464607465,21.7193347193347,24.9341989047871,30.116806461634,27.2452452452452,27.9931531531532,26.8293224731581,31.7493743743744,28.2843713278496,30.589035844355,34.8566666666667,32.3575883575884,29.3328507078507,28.6049778592151,28.1485833659747,29.3210710710711,29.3797547547548,28.5502561384914,32.9651767151767,27.5350667122819,32.4957325746799,32.4095524095524,31.7915357217683,30.283966893723,31.5741918388977,32.2593843843844,26.3850931677019,28.5054054054054,22.8149596965386,20.5835965835966,21.3552651011667,20.7130767130767,22.7174806385333,38.8118818118818,28.455801666328,58.9195134220515,21.8236744206893,24.0488822155489,22.9940354147251,27.4461191961192,25.4479166666667,25.3719561145304,38.8555380346425,37.8446324475736,38.0165701415701,32.2205376107815,37.618954694767,36.6012134583563,33.9321321321321,38.0108347550208,38.0022257551669,31.9913246579913,36.894452828463,37.6657923746531,37.5568798612277,29.0225225225225,38.0284987437846,34.022368959869,36.5872379917606,30.8280665280665,38.1052019761697,34.8832396753189,28.949641949642,31.3135135135135,25.4202702702703,33.012012012012,26.5066856330014,30.9472329472329,31.3841966966967,27.6586914783636,31.3803407367764,27.3677606177606,32.4563363363363,37.9937899064113,37.2668052668053,59.9211748097047,25.2287680939366,31.3693693693694,30.7889139139139,29.7567567567568,33.2258374879734,32.4582120582121,36.5705907249531,35.0080973830974,31.5005359056806,29.616016016016,30.0958719913944,34.6507601351351,30.9484115694642,32.4965553789083,33.980980980981,41.7988871224165,33.4024739024739,33.3074563925628,35.1743006164059,31.0948948948949,36.5018452187127,33.6014586014586,34.1494177103933,31.8453571681918,32.0894058615578,33.2763116057234
"fr10_00",21.1280701754386,23.3526315789474,22.7837488457987,24.4996829422955,23.7611336032389,22.4191337719298,20.2434210526316,20.1230290917166,24.5963331752805,0,27.4466165413534,29.551920341394,61.9659539473684,23.7870813397129,26.4914208598419,36.4545083639331,27.7918935269207,29.6145964912281,26.2009004812917,36.7513906718015,32.1267543859649,34.5257841573631,28.39492347891,28.2934609250399,32.1142543859649,28.9083820662768,29.0178137651822,28.3319298245614,33.2483688560244,35.745126705653,31.567738791423,32.5223684210526,23.7234753550543,33.3489278752437,32.3508771929825,31.459298245614,26.9824561403509,27.4624561403509,35.1499682942295,30.2926183382986,26.2860091404983,21.9942645074224,23.4221158958001,23.0914407230197,21.9640507518797,22.9374718848403,21.8783625730994,20.548644338118,21.4525416104363,19.9718693284936,25.8558738618699,38.3514341409078,24.9628879892038,51.5496216030272,23.4115597212209,23.6282765737874,23.7484620642515,27.4275503573749,26.4951963241437,21.9557354925776,24.9747162022704,29.464609800363,26.2013366750209,27.4842105263158,27.5133381398702,30.5519005847953,28.163996948894,29.7469204927212,32.1356140350877,31.1727395411606,28.5993107769424,28.4487065120428,27.7266717518434,30.0833333333333,29.1552144249513,28.3673890608875,31.7891363022942,27.4026204752387,30.3910433979686,30.7148426622111,31.1652386780906,29.1678790472115,29.3070175438596,28.6220760233918,26.003378010243,27.5140350877193,22.2361495844875,20.0612895876054,20.9961173425367,20.4465709728868,22.5190827947061,38.8241933505091,27.8551642263554,60.2361741918247,22.0032294667016,23.7897985705003,22.9672111312765,27.1609311740891,25.374451754386,25.6456487754039,35.9421076436002,35.4335471030518,35.8164160401003,30.3417486806447,35.3753245930711,34.4287146437522,32.739649122807,35.4677974004779,35.121568627451,32.9922027290448,34.437794995102,35.0604041749944,35.2324288983328,30.7358674463938,35.5346885299597,32.5034888357257,34.4322930441682,30.3215924426451,35.5146198830409,32.9593538301199,27.1866846603689,28.7819021237304,24.3070175438596,31.2235217673814,25.7034164358264,29.096574770259,28.9713693957115,27.46505608283,28.970297029703,24.9411027568922,31.4961403508772,36.0746039856924,35.0856950067476,61.1273701215883,25.1019120835797,30.7996306555863,28.9583333333333,29.9744816586922,31.7196389030829,30.7651821862348,34.2651595431532,32.0717418546366,29.1839002651323,28.2974658869396,29.4867766431003,32.5892726608187,29.4038781163435,30.7781217750258,32.1095516569201,41.4649122807018,30.3880534670008,30.5969889262162,32.7553093259464,29.8368421052632,33.8593320651025,31.3291562238931,32.0581942661532,30.3584749274762,29.1039307128581,31.0705882352941
