"","ntaxa","mntd.obs","mntd.rand.mean","mntd.rand.sd","mntd.obs.rank","mntd.obs.z","mntd.obs.p","runs"
"fr1_00",12,4.56,7.12592592592593,3.49964099483132,235,-0.733196899257835,0.235,999
"fr2_00",16,4.76,6.26194194194194,2.05651977374209,245,-0.730331874810508,0.245,999
"fr3_00",18,3.43157894736842,5.94552447184026,1.76992895140887,26.5,-1.42036522001108,0.0265,999
"fr4_00",17,4.14457831325301,6.02858279966714,2.13676934982255,133.5,-0.881706996859807,0.1335,999
"fr5_00",10,6.82051282051282,8.0669387336054,2.51639806292182,344,-0.49532144037869,0.344,999
"fr6_00",16,4.34375,6.30652527527528,2.37376004295556,190.5,-0.826863389625277,0.1905,999
"fr7_00",8,4.21875,9.08320820820821,4.53994735298532,116,-1.07147899083224,0.116,999
"fr8_00",13,5.16455696202532,6.94580656605973,2.77370158506717,289,-0.642192229194431,0.289,999
"fr9_00",22,5.38738738738739,5.41399056714372,1.65123592522926,604,-0.0161110713192844,0.604,999
"fr10_00",13,4.07017543859649,6.99035877983246,2.65291874417102,93.5,-1.10074360462497,0.0935,999
"fo1_00",19,4.8,5.71485771485771,1.49245963736735,303.5,-0.612986570592621,0.3035,999
"fo2_00",19,4.7027027027027,5.80623867110354,1.37333428083395,222,-0.803545053670922,0.222,999
"fo3_00",15,23.78125,6.56224974974975,4.59882391762155,983,3.74421820854487,0.983,999
"fo4_00",7,4.63636363636364,9.48430248430248,2.90886881434381,33.5,-1.66660621614607,0.0335,999
"fo5_00",23,4.10989010989011,5.34554334554335,1.3114394190074,169.5,-0.942211449300858,0.1695,999
"fo6_00",18,5.23255813953488,6.03503503503504,1.93334326983928,396.5,-0.415072123000103,0.3965,999
"fo7_00",18,4.96551724137931,5.93562528045287,1.71068948018205,325.5,-0.567085990948115,0.3255,999
"fo8_00",24,8.848,5.19624424424424,2.11686333265582,932,1.72507865738043,0.932,999
"fo9_00",18,5.23893805309735,6.01472268728906,1.73673191296619,373.5,-0.446692220255652,0.3735,999
"fo10_00",20,5.51219512195122,5.66088039258771,1.61039708491121,563,-0.0923283282301074,0.563,999
"bc1_00",18,8.15,5.9505005005005,1.84408678263077,889,1.19273101473115,0.889,999
"bc2_00",15,5.81818181818182,6.71005854339188,4.25796926572637,570.5,-0.209460583097448,0.5705,999
"bc3_00",16,4.72340425531915,6.30451728324069,1.78610256685744,179.5,-0.885230813314056,0.1795,999
"bc4_00",5,5.45454545454545,11.3007553007553,4.41305539201409,86.5,-1.32475333456933,0.0865,999
"bc5_00",14,10.75,6.873998998999,3.33730080338941,884.5,1.16141793303872,0.8845,999
"bc6_00",16,7.27777777777778,6.39956623289957,2.03187590441008,731.5,0.432217116691083,0.7315,999
"bc7_00",20,7.47692307692308,5.71294371294371,1.73362203287227,862.5,1.01751092829433,0.8625,999
"bc8_00",15,6.24,6.46646646646647,1.55360058450651,498,-0.145768782996694,0.498,999
"bc9_00",20,5.86776859504132,5.86733841279296,3.51771029410327,685.5,0.000122290414047361,0.6855,999
"bc10_00",11,12.2777777777778,7.51243836429022,3.82077985346925,890.5,1.24721643126354,0.8905,999
"na1_00",15,5.75,6.55538872205539,2.55055940360731,459.5,-0.315769442937228,0.4595,999
"na2_00",14,4.25,6.88738738738739,2.78627668342436,127.5,-0.946563348527904,0.1275,999
"na3_00",10,6.85714285714286,7.95423995423995,2.32929430166975,354.5,-0.470999777190304,0.3545,999
"na4_00",10,10.8888888888889,8.0898676454232,3.57090991775825,813,0.783839779756433,0.813,999
"na5_00",15,7.06735751295337,6.5719190693284,3.53617976584643,687,0.140105559228091,0.687,999
"na6_00",14,6.24,6.83995995995996,2.68909264192815,515.5,-0.22310869867606,0.5155,999
"na7_00",14,4.97560975609756,6.86711101345248,1.98569533640491,162,-0.952563680176372,0.162,999
"na8_00",15,6.04,6.51811811811812,1.74206602922001,436.5,-0.274454647584276,0.4365,999
"na9_00",26,4.19277108433735,5.17235307596753,3.12210441684083,452.5,-0.313756960320179,0.4525,999
"na10_00",17,4.60377358490566,6.27827827827828,2.09949895656323,195.5,-0.79757348206245,0.1955,999
"fr1_01",19,5.73109243697479,5.79263296910356,1.63442938799673,564,-0.0376526098837442,0.564,999
"fr2_01",20,4.55769230769231,5.56672056672057,2.49237854903703,420,-0.404845507685063,0.42,999
"fr3_01",19,8.48484848484848,5.69290502623836,2.77019987710178,871,1.00784910204064,0.871,999
"fr4_01",9,9.27272727272727,8.49267449267449,3.07029560630273,642.5,0.254064389908086,0.6425,999
"fr5_01",24,4.53571428571429,5.09368296868297,2.09641679341505,491,-0.266153507604638,0.491,999
"fr6_01",9,6.58974358974359,8.50884217550884,3.22114889758226,306,-0.595780774743352,0.306,999
"fr7_01",14,4.58666666666667,6.79223223223223,3.43773967200096,293,-0.641574341282743,0.293,999
"fr8_01",11,4.18181818181818,7.49192829192829,4.21987188474749,215.5,-0.784410095973371,0.2155,999
"fr9_01",16,5.2991452991453,6.30774364107697,3.39210896985744,500,-0.297336657192962,0.5,999
"fr10_01",5,16.6896551724138,10.8650719685202,5.57832878736227,838.5,1.04414483726545,0.8385,999
"fo1_01",20,4.65822784810127,5.72818388008261,2.01074860227973,342,-0.532118252261005,0.342,999
"fo2_01",11,8.63492063492063,7.59712093045426,2.98315551888403,693,0.347886557672528,0.693,999
"fo3_01",17,6.48717948717949,6.08418675085342,2.26586086740161,665.5,0.177854140174195,0.6655,999
"fo4_01",20,5.7843137254902,5.59424130012365,3.07083722633581,685,0.0618959623572563,0.685,999
"fo5_01",25,4.94520547945205,5.13498429936786,2.1523642199715,596,-0.0881722610675621,0.596,999
"fo6_01",15,6.51764705882353,6.47544014602838,2.44483135700615,580.5,0.0172637317801884,0.5805,999
"fo7_01",17,5.4025974025974,6.33987233987234,2.52135393774902,452.5,-0.371734774417155,0.4525,999
"fo8_01",17,8.96296296296296,6.08760612464316,1.96551904934591,914,1.46289950192885,0.914,999
"fo9_01",22,4.19047619047619,5.54819104819105,2.01822644563214,251.5,-0.672726720360462,0.2515,999
"fo10_01",17,4.92307692307692,6.08842688842689,2.70613737254051,412.5,-0.430632227755658,0.4125,999
"bc1_01",22,5.84313725490196,5.4575752222811,1.92915039524906,695,0.199861054674837,0.695,999
"bc2_01",9,10.6896551724138,8.57416036726381,2.60537962116091,792,0.811971809393118,0.792,999
"bc3_01",8,10,8.96817452373008,2.69662847474201,668,0.382635385606331,0.668,999
"bc4_01",11,9.24,7.7551951951952,2.6541376434159,736.5,0.559430219637684,0.7365,999
"bc5_01",18,7.75342465753425,5.90406845201366,1.84841039960808,850,1.00051168610213,0.85,999
"bc6_01",18,6.55555555555556,5.98328884439996,2.31756733361201,703.5,0.24692560291817,0.7035,999
"bc7_01",17,6.72463768115942,6.0295077686382,1.65980689259912,710,0.41880167844869,0.71,999
"bc8_01",12,7.14893617021277,7.34822056098652,2.49329080746166,524,-0.0799282579382056,0.524,999
"bc9_01",19,5,5.77399399399399,1.79302767978772,385.5,-0.43166873703011,0.3855,999
"bc10_01",9,7.23076923076923,8.41302841302841,2.2661471560479,318,-0.521704505863164,0.318,999
"na1_01",7,9.96428571428571,9.7034177034177,3.51449857031887,560,0.0742262390063635,0.56,999
"na2_01",12,8.8135593220339,7.34741521182199,2.58767334439295,755.5,0.566587785660347,0.7555,999
"na3_01",13,8.95652173913044,7.01385443414429,2.47564556874196,793.5,0.784711401952963,0.7935,999
"na4_01",13,7.27777777777778,7.06806806806807,2.02554134680271,595,0.103532672902843,0.595,999
"na5_01",19,6.5,5.84439995551107,1.60877030650894,717.5,0.407516251286112,0.7175,999
"na6_01",8,10.0392156862745,9.13607725372431,2.77015199948846,641,0.326024865320377,0.641,999
"na7_01",12,10.6538461538462,7.34291984291984,3.4427153242529,851,0.961719456616649,0.851,999
"na8_01",8,11.0379746835443,8.89258879132297,3.2216734304443,754,0.665922831267682,0.754,999
"na9_01",13,4.78947368421053,7.18608081765977,2.52889775531219,168.5,-0.947688426080073,0.1685,999
"na10_01",14,5.87301587301587,6.86883709105931,2.16016496153403,369.5,-0.460993135142912,0.3695,999
"fr1_02",18,6.09302325581395,5.83730241869777,1.97403952710726,640.5,0.129541903089913,0.6405,999
"fr2_02",17,6.50406504065041,6.08724171325797,2.3519883885076,680,0.177221677381204,0.68,999
"fr3_02",9,6.47058823529412,8.21303656597774,3.00844849229573,327,-0.579185030139563,0.327,999
"fr4_02",6,3.91666666666667,10.1208708708709,4.27211043054099,40.5,-1.45225745098975,0.0405,999
"fr5_02",14,6.52173913043478,6.63637550594072,2.63823080599642,568.5,-0.0434519888272795,0.5685,999
"fr6_02",13,6,6.95095095095095,1.76891908975192,319,-0.537588720965363,0.319,999
"fr7_02",11,9.1578947368421,7.65086138770349,4.50867195024828,693.5,0.334252162447885,0.6935,999
"fr8_02",7,17.1688311688312,9.84241384241384,5.45668763117965,901,1.34264920802026,0.901,999
"fr9_02",17,4.52459016393443,6.03286893450828,3.39259164109986,416,-0.444580111647294,0.416,999
"fr10_02",6,10.3030303030303,9.85327751994419,5.50948902161064,562.5,0.081632394823184,0.5625,999
"fo1_02",16,9.71929824561403,6.15517271657623,3.43737484420019,882.5,1.036874269052,0.8825,999
"fo2_02",16,11.3566433566434,6.48741048741049,2.46593611601559,952,1.97459814048244,0.952,999
"fo3_02",16,7.59398496240602,6.39787155576629,2.5687400887251,746,0.465642052261258,0.746,999
"fo4_02",14,6.40812182741117,6.58370451669944,4.61584010823242,663,-0.0380391619231175,0.663,999
"fo5_02",21,4.7363184079602,5.43532587313682,2.90823268306324,544,-0.240354724450849,0.544,999
"fo6_02",19,8.2037037037037,5.85643050457865,3.04959202544333,821.5,0.76970072702883,0.8215,999
"fo7_02",17,8.82758620689655,6.06924165544855,3.07199955309693,856,0.897898747630763,0.856,999
"fo8_02",16,4.5,6.34684684684685,2.81517300191618,276,-0.656033162292253,0.276,999
"fo9_02",15,4.97916666666667,6.47651818485152,2.89744318490847,362.5,-0.516783737463399,0.3625,999
"fo10_02",20,5.68316831683168,5.7003141755617,2.18244234677563,629,-0.00785627109708011,0.629,999
"bc1_02",14,7.75576662143826,7.05816264025219,4.98269926262196,686,0.140005234997663,0.686,999
"bc2_02",19,4.25210084033613,5.72678560913855,3.75943948902081,475,-0.3922618712468,0.475,999
"bc3_02",11,8.98214285714286,7.73666523666524,4.26074213915868,677,0.292314714150608,0.677,999
"bc4_02",7,14.2276422764228,9.57892852201795,3.91611634671715,872,1.18707243167119,0.872,999
"bc5_02",20,4.57039711191336,5.84987875962605,3.67191780752009,511.5,-0.348450514086212,0.5115,999
"bc6_02",17,7.46122448979592,6.22748462748463,3.49142034659596,752.5,0.353363313447536,0.7525,999
"bc7_02",15,7.84,6.43280613947281,3.20642430692143,775,0.438867013791532,0.775,999
"bc8_02",13,5.11627906976744,7.09613932869747,4.33586818867843,447,-0.456623719351,0.447,999
"bc9_02",15,4.01176470588235,6.63663663663664,3.89138078860991,228.5,-0.674534843374182,0.2285,999
"bc10_02",12,9.03703703703704,7.36106476847218,2.29028116332391,793.5,0.731775772950296,0.7935,999
"na1_02",15,4.78172588832487,6.78482543457163,4.16181073412965,429.5,-0.481304815190174,0.4295,999
"na2_02",14,7.51054852320675,6.816757685956,4.4236349623022,681,0.156837271421167,0.681,999
"na3_02",11,7.88819875776398,7.74925235794801,3.47244742749745,585,0.0400139678762831,0.585,999
"na4_02",11,6,7.61539317094873,2.16866052588611,244,-0.744880607945166,0.244,999
"na5_02",15,4.84947491248541,6.66816641612441,4.68485842967633,505,-0.388206288608095,0.505,999
"na6_02",18,5.94318181818182,6.12383974883975,2.60862191910565,586.5,-0.0692541641756457,0.5865,999
"na7_02",15,7.81909547738693,6.64489112227806,4.15231105303292,728,0.282783332007658,0.728,999
"na8_02",15,7.89230769230769,6.68462308462308,3.11593100696835,741,0.38758387300097,0.741,999
"na9_02",12,4.60215053763441,7.42680314723325,4.58910822836939,341.5,-0.615512310678824,0.3415,999
"na10_02",11,7.88118811881188,7.79056284006779,3.60074253270843,592.5,0.0251684973087823,0.5925,999
"fr1_03",14,5.07692307692308,6.71774338441005,1.85665500234947,182,-0.8837507805223,0.182,999
"fr2_03",18,4.02105263157895,5.94670459933618,1.81508989356025,101.5,-1.06091272646564,0.1015,999
"fr3_03",12,5.6,7.21066066066066,1.95991364272456,231.5,-0.821801851647716,0.2315,999
"fr4_03",20,4,5.60864568271976,1.53896999933677,102.5,-1.04527423108508,0.1025,999
"fr5_03",14,6.08421052631579,6.79336178283547,2.20177631221163,445.5,-0.322081426976273,0.4455,999
"fr6_03",20,7.21904761904762,5.60514800514801,1.9713219395543,844,0.81868901345688,0.844,999
"fr7_03",21,4.51388888888889,5.50408742075409,1.5111253320335,289.5,-0.655272273500109,0.2895,999
"fr8_03",22,5.44262295081967,5.39201496578546,1.15522149214727,575,0.0438080362754911,0.575,999
"fr9_03",20,5.16831683168317,5.56205710661156,1.50571557924572,470,-0.261497111642849,0.47,999
"fr10_03",9,3.78571428571429,8.32293007293007,2.86961924756217,29,-1.58112118570095,0.029,999
"fo1_03",23,4.85333333333333,5.26128795462129,1.07600889080802,389,-0.379136849865248,0.389,999
"fo2_03",19,8.42718446601942,5.76901173017678,1.6110717500763,926,1.64994062847713,0.926,999
"fo3_03",24,3.15384615384615,5.24251174251174,1.36166049604355,12.5,-1.53391068826218,0.0125,999
"fo4_03",16,23.751211631664,6.30196917434397,4.62596382832614,994,3.77202310802198,0.994,999
"fo5_03",24,4.96629213483146,5.15475025587385,1.15199937502261,495.5,-0.16359220771165,0.4955,999
"fo6_03",26,4.21052631578947,5.02902902902903,0.932364718503894,199.5,-0.877878256218183,0.1995,999
"fo7_03",26,4.91666666666667,5.01815704593482,1.07799835826881,513.5,-0.0941470629242359,0.5135,999
"fo8_03",20,4.68181818181818,5.64983164983165,1.30889888875449,243,-0.739563213270507,0.243,999
"fo9_03",27,7.84466019417476,4.95371099254594,1.39176813750034,946.5,2.07717731404675,0.9465,999
"fo10_03",15,8.89230769230769,6.52745052745053,1.74877330609092,892,1.35229486670482,0.892,999
"bc1_03",26,6.85906040268456,5.11632437806934,1.79841803702611,871,0.969038337436292,0.871,999
"bc2_03",24,5.69047619047619,5.19699461366128,1.76870029883917,711.5,0.279008024784522,0.7115,999
"bc3_03",14,9.22186495176849,6.54640492582615,3.94601403270222,812.5,0.678015841750616,0.8125,999
"bc4_03",14,5.51111111111111,6.72432432432432,1.62164574799578,242.5,-0.748137017417427,0.2425,999
"bc5_03",26,5.52238805970149,5.01958675093003,0.88059505787966,735,0.570979026366702,0.735,999
"bc6_03",31,4.51041666666667,4.69075325325325,1.70931089087442,566.5,-0.105502508378878,0.5665,999
"bc7_03",20,5.89473684210526,5.62863916548127,1.33650434119491,654,0.199099747320002,0.654,999
"bc8_03",18,5.82352941176471,5.90125419537184,1.54377011279728,537.5,-0.0503473820116265,0.5375,999
"bc9_03",24,5.97777777777778,5.29280391502614,1.28289729699986,767.5,0.53392727878802,0.7675,999
"bc10_03",14,13.8235294117647,6.84743567096508,2.21047304072794,992,3.15592799019268,0.992,999
"na1_03",22,4,5.43147909814576,1.50772098026274,150.5,-0.949432366389377,0.1505,999
"na2_03",23,4.82269503546099,5.37872624397447,1.63810247805677,454,-0.339436156139073,0.454,999
"na3_03",22,6,5.49195511300774,1.64674586244382,679.5,0.308514445719208,0.6795,999
"na4_03",18,8.5,5.94160827494161,1.73492438745541,907,1.47464162908607,0.907,999
"na5_03",24,6.18072289156626,5.41658525995875,2.29655694940542,772.5,0.332731845297957,0.7725,999
"na6_03",20,5.69047619047619,5.70239286905954,1.95257030999073,618.5,-0.00610307271516481,0.6185,999
"na7_03",25,6.02439024390244,5.17446715007691,1.53434572446212,789.5,0.553931933510932,0.7895,999
"na8_03",25,4.22047244094488,5.0578925382075,1.15473027141931,229,-0.72520840406593,0.229,999
"na9_03",22,3.46835443037975,5.48023973340429,1.642333647491,45,-1.22501618723949,0.045,999
"na10_03",19,6.47058823529412,5.84926102573161,1.70057041214117,710,0.365364000882621,0.71,999
