"","PD","SR"
"fr1_00",65,12
"fr2_00",79,16
"fr3_00",58,18
"fr4_00",69,17
"fr5_00",67,10
"fr6_00",73,16
"fr7_00",46,8
"fr8_00",66,13
"fr9_00",99,22
"fr10_00",57,13
"fo1_00",90,19
"fo2_00",89,19
"fo3_00",69,15
"fo4_00",40,7
"fo5_00",94,23
"fo6_00",88,18
"fo7_00",88,18
"fo8_00",101,24
"fo9_00",85,18
"fo10_00",93,20
"bc1_00",82,18
"bc2_00",81,15
"bc3_00",67,16
"bc4_00",39,5
"bc5_00",72,14
"bc6_00",64,16
"bc7_00",95,20
"bc8_00",88,15
"bc9_00",96,20
"bc10_00",65,11
"na1_00",71,15
"na2_00",61,14
"na3_00",55,10
"na4_00",63,10
"na5_00",85,15
"na6_00",64,14
"na7_00",57,14
"na8_00",69,15
"na9_00",113,26
"na10_00",85,17
"fr1_01",85,19
"fr2_01",99,20
"fr3_01",99,19
"fr4_01",60,9
"fr5_01",102,24
"fr6_01",53,9
"fr7_01",67,14
"fr8_01",53,11
"fr9_01",87,16
"fr10_01",36,5
"fo1_01",88,20
"fo2_01",71,11
"fo3_01",86,17
"fo4_01",86,20
"fo5_01",118,25
"fo6_01",74,15
"fo7_01",92,17
"fo8_01",81,17
"fo9_01",91,22
"fo10_01",75,17
"bc1_01",109,22
"bc2_01",63,9
"bc3_01",51,8
"bc4_01",55,11
"bc5_01",90,18
"bc6_01",85,18
"bc7_01",81,17
"bc8_01",74,12
"bc9_01",81,19
"bc10_01",60,9
"na1_01",50,7
"na2_01",57,12
"na3_01",71,13
"na4_01",76,13
"na5_01",93,19
"na6_01",54,8
"na7_01",63,12
"na8_01",54,8
"na9_01",60,13
"na10_01",62,14
"fr1_02",87,18
"fr2_02",95,17
"fr3_02",52,9
"fr4_02",41,6
"fr5_02",75,14
"fr6_02",61,13
"fr7_02",66,11
"fr8_02",57,7
"fr9_02",78,17
"fr10_02",51,6
"fo1_02",80,16
"fo2_02",81,16
"fo3_02",88,16
"fo4_02",85,14
"fo5_02",88,21
"fo6_02",84,19
"fo7_02",90,17
"fo8_02",74,16
"fo9_02",75,15
"fo10_02",96,20
"bc1_02",70,14
"bc2_02",85,19
"bc3_02",72,11
"bc4_02",44,7
"bc5_02",89,20
"bc6_02",84,17
"bc7_02",81,15
"bc8_02",78,13
"bc9_02",77,15
"bc10_02",78,12
"na1_02",67,15
"na2_02",78,14
"na3_02",71,11
"na4_02",59,11
"na5_02",85,15
"na6_02",89,18
"na7_02",90,15
"na8_02",86,15
"na9_02",73,12
"na10_02",71,11
"fr1_03",74,14
"fr2_03",80,18
"fr3_03",66,12
"fr4_03",91,20
"fr5_03",67,14
"fr6_03",79,20
"fr7_03",92,21
"fr8_03",95,22
"fr9_03",85,20
"fr10_03",42,9
"fo1_03",96,23
"fo2_03",91,19
"fo3_03",102,24
"fo4_03",75,16
"fo5_03",104,24
"fo6_03",109,26
"fo7_03",107,26
"fo8_03",94,20
"fo9_03",105,27
"fo10_03",78,15
"bc1_03",103,26
"bc2_03",90,24
"bc3_03",73,14
"bc4_03",66,14
"bc5_03",117,26
"bc6_03",130,31
"bc7_03",98,20
"bc8_03",83,18
"bc9_03",102,24
"bc10_03",76,14
"na1_03",90,22
"na2_03",92,23
"na3_03",100,22
"na4_03",82,18
"na5_03",103,24
"na6_03",79,20
"na7_03",102,25
"na8_03",108,25
"na9_03",87,22
"na10_03",91,19
