,Ord_Famil_Genus_Species
fr1_00,H-17
fr2_00,KH-8
fr3_00,17
fr4_00,KSCR-1
fr5_00,TP-1
fr6_00,TP-2
fr7_00,TP-3
fr8_00,TP-4
fr9_00,OO31
fr10_00,H-14
fo1_00,1994
fo2_00,1935
fo3_00,984
fo4_00,989
fo5_00,HM-1
fo6_00,WSU-6
fo7_00,MH-2
fo8_00,1997
fo9_00,1976
fo10_00,1981
bc1_00,11
bc2_00,2028
bc3_00,WC-3
bc4_00,WH-3
bc5_00,RL-6
bc6_00,13
bc7_00,EC-2
bc8_00,NUL
bc9_00,999
bc10_00,WC-4
na1_00,1000
na2_00,T-15
na3_00,1008
na4_00,HE-10
na5_00,WC-5
na6_00,XSU-1
na7_00,HE-8
na8_00,1020
na9_00,1019
na10_00,RM-2
fr1_01,OO31
fr2_01,KSCR-1
fr3_01,TP-6
fr4_01,TP-4
fr5_01,17
fr6_01,KH-8
fr7_01,TP-3
fr8_01,TP-5
fr9_01,H-14
fr10_01,H17
fo1_01,HM-1
fo2_01,WSU-6
fo3_01,MH-2
fo4_01,984
fo5_01,1976
fo6_01,1997
fo7_01,1935
fo8_01,989
fo9_01,1981
fo10_01,1994
bc1_01,H-10
bc2_01,13
bc3_01,3200
bc4_01,NUN
bc5_01,10
bc6_01,RL-6
bc7_01,HE-1
bc8_01,1005
bc9_01,HE-2
bc10_01,T-48
na1_01,HE-8
na2_01,HE-10
na3_01,WC-5
na4_01,T-21
na5_01,1019
na6_01,XSU-1
na7_01,1000
na8_01,1020
na9_01,RM-2
na10_01,T-15
fr1_02,OO31
fr2_02,KSCR-1
fr3_02,TP-6
fr4_02,TP-4
fr5_02,17
fr6_02,KH-8
fr7_02,TP-3
fr8_02,TP-5
fr9_02,H-14
fr10_02,H-17
fo1_02,HM-1
fo2_02,WSU-6
fo3_02,MH-2
fo4_02,984
fo5_02,1976
fo6_02,1997
fo7_02,1935
fo8_02,989
fo9_02,1981
fo10_02,1994
bc1_02,H-10
bc2_02,13
bc3_02,3200
bc4_02,NUN
bc5_02,10
bc6_02,RL-6
bc7_02,HE-1
bc8_02,1005
bc9_02,HE-2
bc10_02,T-48
na1_02,HE-8
na2_02,HE-10
na3_02,WC-5
na4_02,T-21
na5_02,1019
na6_02,XSU-1
na7_02,1000
na8_02,1020
na9_02,RM-2
na10_02,T-15
fr1_03,OO31
fr2_03,KSCR-1
fr3_03,TP-6
fr4_03,TP-4
fr5_03,17
fr6_03,KH-8
fr7_03,TP-3
fr8_03,TP-5
fr9_03,H-14
fr10_03,H-17
fo1_03,HM-1
fo2_03,WSU-6
fo3_03,MH-2
fo4_03,984
fo5_03,1976
fo6_03,1997
fo7_03,1935
fo8_03,989
fo9_03,1981
fo10_03,1994
bc1_03,H-10
bc2_03,13
bc3_03,3200
bc4_03,NUN
bc5_03,10
bc6_03,RL-6
bc7_03,HE-1
bc8_03,1005
bc9_03,HE-2
bc10_03,T-48
na1_03,HE-8
na2_03,HE-10
na3_03,WC-5
na4_03,T-21
na5_03,1019
na6_03,XSU-1
na7_03,1000
na8_03,1020
na9_03,RM-2
na10_03,T-15
