Ord_Famil_Genus_Species,Order,Family,Genus,Species
Aca_Eriop_Aceria_parapopu,Acari,Eriophyidae,Aceria,parapopuli
Aca_Eryth_1_1,Acari,Erythraeidae,,1
Ara_Arane_Araneus_1,Araneae,Araneidae,Araneus,1
Ara_Arane_Araniell_2,Araneae,Araneidae,Araniella,2
Ara_Arane_Metapeir_1,Araneae,Araneidae,Metapeira,1
Ara_Arane_Metazygi_wittfeld,Araneae,Araneidae,Metazygia,wittfeldae
Ara_Arane_Neoscona_1,Araneae,Araneidae,Neoscona,1
Ara_Arane_1_1,Araneae,Araneidae,,1
Ara_Clubi_Chiracan_1,Araneae,Clubionidae,Chiracanthium,1
Ara_Clubi_1_1,Araneae,Clubionidae,,1
Ara_Clubi_1_2,Araneae,Clubionidae,,2
Ara_Clubi_1_3,Araneae,Clubionidae,,3
Ara_Dicty_Dictyna_1,Araneae,Dictynidae,Dictyna,1
Ara_Lycos_1_1,Araneae,Lycosidae,,1
Ara_Oxyop_Oxyopes_1,Araneae,Oxyopidae,Oxyopes,1
Ara_Philo_Philodro_1,Araneae,Philodromidae,Philodromus,1
Ara_Salti_Bredana_1,Araneae,Salticidae,Bredana,1
Ara_Salti_Corythal_1,Araneae,Salticidae,Corythalia,1
Ara_Salti_Metacyrb_1,Araneae,Salticidae,Metacyrba,1
Ara_Salti_Metaphid_1,Araneae,Salticidae,Metaphidippus,1
Ara_Salti_Metaphid_2,Araneae,Salticidae,Metaphidippus,2
Ara_Salti_Paradamo_1,Araneae,Salticidae,Paradamoetus,1
Ara_Salti_Phidippu_1,Araneae,Salticidae,Phidippus,1
Ara_Salti_Salticus_1,Araneae,Salticidae,Salticus,1
Ara_Salti_Salticus_scenicus,Araneae,Salticidae,Salticus,scenicus
Ara_Salti_Talavera_1,Araneae,Salticidae,Talavera,1
Ara_Salti_1_4,Araneae,Salticidae,,4
Ara_Salti_1_5,Araneae,Salticidae,,5
Ara_Salti_1_6,Araneae,Salticidae,,6
Ara_Salti_1_7,Araneae,Salticidae,,7
Ara_Salti_1_8,Araneae,Salticidae,,8
Ara_Salti_1_9,Araneae,Salticidae,,9
Ara_Salti_1_10,Araneae,Salticidae,,10
Ara_Theri_1_1,Araneae,Theridiidae,,1
Ara_Theri_1_2,Araneae,Theridiidae,,2
Ara_Thomi_Misumeno_1,Araneae,Thomisidae,Misumenops,1
Ara_Thomi_Misumeno_2,Araneae,Thomisidae,Misumenops,2
Ara_Thomi_1_1,Araneae,Thomisidae,,1
Ara_Thomi_1_2,Araneae,Thomisidae,,2
Ara_Thomi_1_3,Araneae,Thomisidae,,3
Ara_Thomi_1_4,Araneae,Thomisidae,,4
Col_Anthi_1_1,Coleoptera,Anthicidae,,1
Col_Bupre_1_1,Coleoptera,Buprestidae,,1
Col_Canth_1_1,Coleoptera,Cantharidae,,1
Col_Chrys_Chrysome_confluen,Coleoptera,Chrysomelidae,Chrysomela,confluens
Col_Chrys_1_1,Coleoptera,Chrysomelidae,,1
Col_Chrys_1_2,Coleoptera,Chrysomelidae,,2
Col_Chrys_1_3,Coleoptera,Chrysomelidae,,3
Col_Chrys_1_4,Coleoptera,Chrysomelidae,,4
Col_Chrys_1_5,Coleoptera,Chrysomelidae,,5
Col_Cicin_1_1,Coleoptera,Cicindellidae,,1
Col_Cleri_1_1,Coleoptera,Cleridae,,1
Col_Cleri_1_2,Coleoptera,Cleridae,,2
Col_Cocci_Adalia_bipuncta,Coleoptera,Coccinellidae,Adalia,bipunctata
Col_Cocci_Coccinel_septum,Coleoptera,Coccinellidae,Coccinella,septum
Col_Cocci_Cryptola_1,Coleoptera,Coccinellidae,Cryptolaemus,1
Col_Cocci_Harmonia_axyridis,Coleoptera,Coccinellidae,Harmonia,axyridis
Col_Cocci_Hippodam_converge,Coleoptera,Coccinellidae,Hippodamia,convergens
Col_Cocci_Scymnus_1,Coleoptera,Coccinellidae,Scymnus,1
Col_Cocci_1_1,Coleoptera,Coccinellidae,,1
Col_Cocci_1_2,Coleoptera,Coccinellidae,,2
Col_Curcu_Microtyp_2,Coleoptera,Curculionidae,Microtyphius,2
Col_Curcu_1_1,Coleoptera,Curculionidae,,1
Col_Curcu_1_3,Coleoptera,Curculionidae,,3
Col_Curcu_1_4,Coleoptera,Curculionidae,,4
Col_Curcu_1_5,Coleoptera,Curculionidae,,5
Col_Curcu_1_6,Coleoptera,Curculionidae,,6
Col_Derme_1_1,Coleoptera,Dermestidae,,1
Col_Lampy_1_1,Coleoptera,Lampyridae,,1
Col_Melyr_1_1,Coleoptera,Melyridae,,1
Col_Melyr_1_2,Coleoptera,Melyridae,,2
Col_Melyr_1_3,Coleoptera,Melyridae,,3
Col_Melyr_1_4,Coleoptera,Melyridae,,4
Col_Morde_1_1,Coleoptera,Mordellidae,,1
Col_Morde_1_2,Coleoptera,Mordellidae,,2
Col_Scara_1_1,Coleoptera,Scarabaeidae,,1
Col_Silph_1_1,Coleoptera,Silphidae,,1
Col_Teneb_1_1,Coleoptera,Tenebrionidae,,1
Der_Forfi_1_1,Dermaptera,Forficulidae,,1
Dip_Agrom_Hexomyza_schineri,Diptera,Agromyzidae,Hexomyza,schineri
Dip_Agrom_1_1,Diptera,Agromyzidae,,1
Dip_Antho_1_1,Diptera,Anthomyiidae,,1
Dip_Bibio_1_1,Diptera,Bibionidae,,1
Dip_Bomby_1_1,Diptera,Bombyliidae,,1
Dip_Calli_1_1,Diptera,Calliphoridae,,1
Dip_Cerat_1_1,Diptera,Ceratapogonidae,,1
Dip_Chiro_1_1,Diptera,Chironomidae,,1
Dip_Chlor_1_1,Diptera,Chloropidae,,1
Dip_Empid_1_1,Diptera,Empididae,,1
Dip_Musci_1_1,Diptera,Muscidae,,1
Dip_Musci_1_2,Diptera,Muscidae,,2
Dip_Ottit_1_1,Diptera,Ottitidae,,1
Dip_Phori_1_1,Diptera,Phoridae,,1
Dip_Sciar_1_1,Diptera,Sciaridae,,1
Dip_Syrph_1_4,Diptera,Syrphidae,,4
Dip_Tachy_1_1,Diptera,Tachynidae,,1
Dip_Tephr_1_1,Diptera,Tephritidae,,1
Dip_There_1_1,Diptera,Therevidae,,1
Hem_Antho_Anthocor_antevole,Hemiptera,Anthocoridae,Anthocorus,antevolens
Hem_Aphid_Chaitoph_populico,Hemiptera,Aphididae,Chaitophorus,populicola
Hem_Aphid_Chaitoph_popullel,Hemiptera,Aphididae,Chaitophorus,popullellus
Hem_Aphid_Pemphigu_betae,Hemiptera,Aphididae,Pemphigus,betae
Hem_Aphid_Pemphigu_populica,Hemiptera,Aphididae,Pemphigus,populicaulis
Hem_Aphid_Pemphigu_populigl,Hemiptera,Aphididae,Pemphigus,populiglobuli
Hem_Aphid_Pemphigu_populitr,Hemiptera,Aphididae,Pemphigus,populitransversus
Hem_Aphid_Thecabiu_populico,Hemiptera,Aphididae,Thecabius,populicondupifolius
Hem_Aphid_Thecabiu_populimo,Hemiptera,Aphididae,Thecabius,populimonilis
Hem_Cerco_1_1,Hemiptera,Cercopidae,,1
Hem_Cerco_1_2,Hemiptera,Cercopidae,,2
Hem_Cicad_Gypona_1,Hemiptera,Cicadellidae,Gypona,1
Hem_Cicad_1_2,Hemiptera,Cicadellidae,,2
Hem_Cicad_1_3,Hemiptera,Cicadellidae,,3
